millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
102,-2,-5,-12,-4,1,-7,-7,-7,0
153,-1,-1,-5,1,-6,-2,-5,-9,0
204,-1,-1,-1,0,-1,-1,-3,-4,0
255,-1,1,13,11,0,5,11,12,0
306,-8,-5,-7,-20,-5,-17,14,-3,0
357,0,1,9,-11,-16,9,32,8,0
408,-1,0,4,16,40,52,36,-7,0
459,-3,-18,-42,-29,-30,-57,-54,-48,0
510,-20,-15,-5,-35,-32,-26,-40,-72,0
560,8,0,4,1,4,61,104,47,0
611,3,-9,-28,-1,-13,10,68,76,0
662,-4,-3,-2,-9,13,-72,-10,-36,0
712,-3,-2,-8,-30,6,-26,-29,-4,0
763,-14,-5,6,14,-4,79,0,-20,0
813,0,-1,-8,-23,-6,58,10,0,0
864,1,-4,-23,-32,5,-68,39,16,0
914,-7,-3,7,2,-29,-67,-48,21,1
986,-3,-7,-3,4,-26,7,-42,37,1
1036,-2,4,17,8,-21,-23,-23,-4,1
1087,-3,-6,-21,-27,-30,9,14,-29,1
1138,14,11,37,12,-12,31,37,79,1
1188,-5,-3,-4,2,-7,-3,-14,-62,1
1238,-18,-18,-29,13,-22,-23,-32,-12,1
1289,-7,-7,-17,-7,-4,-42,-59,-16,1
1340,0,-2,-11,3,0,-19,-7,-2,1
1390,-5,-10,-28,-16,-2,-14,-22,1,1
1441,-14,-10,-17,-12,-11,28,-45,11,1
1492,-10,-15,-39,-45,-2,-20,-7,-15,1
1543,-4,-6,-15,-10,-25,12,-16,19,1
1595,7,2,5,27,3,47,34,3,1
1646,-5,-1,-1,2,-6,-13,-3,1,1
1698,-2,0,-1,4,-2,-3,5,31,1
1748,2,2,4,1,-19,-40,-16,6,1
1799,4,-7,-8,-22,-1,-18,-4,23,1
1850,1,3,7,3,-12,34,0,75,1
1901,1,4,14,38,14,36,1,25,1
1951,6,1,5,-8,-2,-33,-28,-9,1
2001,9,-2,-12,-18,-3,-3,4,9,1
2052,20,4,2,-1,5,-5,-3,-6,1
2102,45,2,-2,-19,13,9,-4,6,1
2153,8,1,2,8,-18,-2,-2,-1,1
2205,9,0,0,-3,-14,-9,-2,1,1
2256,1,3,1,22,-5,-1,0,-2,0
2307,12,-1,-1,-7,-11,1,-8,-3,0
2359,0,-1,-2,-4,-1,-1,3,2,0
2410,0,0,4,5,7,-1,7,2,0
2460,0,0,0,0,-6,-3,2,-1,0
2510,3,0,1,2,2,0,-1,0,0
2561,-2,-1,-3,-3,7,-6,-2,-3,0
2612,-1,0,1,-12,7,8,1,1,0
2662,-1,-2,-3,-4,-11,-2,-1,0,0
2713,0,0,0,-1,-3,7,1,1,0
2764,2,-3,-6,-11,-5,3,1,-2,0
2815,-29,-3,-4,-1,6,-2,10,-3,0
2867,0,-4,-17,-23,-25,-4,-7,-3,0
2918,0,-1,0,-4,-7,-30,-2,-3,0
2968,-6,0,5,-17,-12,-32,-34,-4,0
3019,-3,-9,-20,-12,-19,-56,-43,-32,0
3072,-3,1,2,31,-3,-43,-10,28,0
3122,-5,3,1,39,17,123,1,-128,0
3173,7,11,4,-6,-7,79,110,-9,0
3224,-8,0,29,18,-6,-12,69,-5,1
3275,-14,-10,-18,4,40,14,-16,24,1
3326,-14,0,23,16,-5,-5,-27,-64,1
3377,-10,3,1,20,44,-34,3,-55,1
3428,5,1,-1,-18,24,-26,-4,17,1
3479,-3,-4,-8,-3,-12,0,11,3,1
3529,11,-1,-12,-44,-4,3,-16,7,1
3580,-4,-2,0,1,-12,-27,-10,-10,1
3631,1,4,9,16,-11,-33,-50,7,1
3682,0,5,7,-2,-3,18,-1,10,1
3732,3,3,5,7,-13,-40,-3,22,1
3783,-9,-1,5,5,-2,33,-11,-29,1
3834,-2,-17,-42,-27,-25,-20,-5,-60,1
3885,12,6,19,14,-32,-4,1,-8,1
3936,-8,-3,-7,-9,-18,28,-6,-9,1
3987,-2,5,27,28,5,-25,-4,-26,1
4038,5,0,-10,-4,17,-53,-9,-2,1
4089,2,2,4,13,19,44,6,-1,1
4140,-10,-1,6,-4,-16,-28,0,15,1
4192,-2,-7,-20,-27,-31,-30,-13,2,1
4242,1,-1,2,2,-5,-11,17,-4,1
4292,-2,-2,-17,-8,-6,9,-9,-7,1
4342,1,-1,0,-8,-3,-7,-12,-33,1
4392,-5,4,16,3,-11,33,29,19,1
4443,3,-1,-1,7,6,6,7,7,1
4494,-1,4,0,-2,-11,-2,-3,-6,1
4544,2,-2,-16,-17,-4,-6,-11,1,1
4594,-7,-3,-3,1,-5,3,38,24,1
4645,1,1,4,3,-8,-11,6,8,1
4695,1,-1,-3,-4,6,2,-13,-13,1
4746,4,0,-1,-4,-1,-7,-3,-22,1
4798,0,-2,-1,5,2,-7,2,3,1
4849,-2,-2,0,26,19,-1,7,0,1
4900,4,-1,3,-6,-3,-7,-12,3,0
4951,-9,-3,-3,-2,-5,-2,1,-5,0
5003,0,0,4,23,12,0,0,-3,0
5053,-3,0,0,0,-7,-5,-3,-2,0
5105,-27,1,6,14,21,2,0,1,0
5156,1,-1,4,13,1,3,10,-1,0
5206,3,-3,-2,-3,8,-2,-1,-1,0
5258,-6,-4,-4,-6,-16,-11,-9,-5,0
5309,-1,0,3,2,4,1,-3,-2,0
5360,5,-3,0,-5,-8,9,11,3,0
5411,-5,-1,-6,0,-2,-8,-8,-6,0
5463,7,-4,-9,-5,-7,-9,-3,-2,0
