millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0
153,-1,0,-1,11,6,-3,-2,-3,0
204,-1,-2,0,3,12,-1,-2,-4,0
256,0,-1,3,1,9,3,2,4,0
306,-31,0,3,0,26,5,9,-16,0
358,25,1,-11,-89,-81,0,4,10,0
409,-13,0,0,7,1,-5,1,34,0
460,-25,0,10,30,4,4,-29,-24,0
511,8,6,12,16,-12,-12,14,5,2
562,-4,-6,-12,17,-5,-7,23,-23,2
612,1,-3,-3,-62,-74,-22,-3,16,2
662,-11,-7,-12,-24,-58,-20,-13,-14,2
712,-1,-3,-16,-16,-55,2,-50,-39,2
763,8,5,7,55,97,-2,24,68,2
813,21,2,7,38,26,-4,57,43,2
865,3,-4,-4,-17,-18,-1,-4,-9,2
915,14,0,10,17,70,0,51,-4,2
988,-3,-2,2,30,66,-6,2,-18,2
1038,-16,-2,2,-19,-44,14,0,-5,2
1089,-8,-7,-13,-16,-43,-4,-12,-34,2
1140,12,1,5,27,-30,-12,-22,14,2
1191,1,-2,-6,-21,-43,-9,14,6,2
1242,5,-2,-6,-31,18,6,-12,6,2
1292,9,-1,-4,-13,-31,-6,6,1,2
1343,6,-2,-1,-18,-18,3,-5,-6,2
1395,0,0,1,3,3,-3,-4,7,2
1446,3,3,3,16,19,-4,-5,2,2
1497,1,0,3,-5,-3,3,1,3,2
1547,-1,-1,2,-2,-5,0,0,1,0
1599,0,-1,0,-2,0,-3,-2,-3,0
1650,-1,-1,0,-1,0,-2,-1,0,0
1700,-2,-3,3,3,1,2,2,0,0
1751,-1,-1,-3,-4,-1,-3,-2,0,0
1802,-2,-1,-6,-8,-2,-3,-1,0,0
1853,0,-1,-1,-8,-14,-3,-5,-2,0
1904,0,1,4,1,-6,0,-3,2,0
1954,-2,-1,-5,-4,4,0,4,-1,0
2004,-3,-9,-27,-14,7,-2,-2,-4,0
2056,-1,-1,0,-6,-4,-4,-1,-4,0
2105,0,1,4,6,-7,2,1,-1,0
2157,1,-2,-5,-11,13,-7,-12,3,0
2207,0,-1,-6,-28,-17,-6,-14,-5,0
2258,1,-1,-2,-2,-64,-8,66,-12,0
2309,-4,-3,-9,-33,-77,-7,17,7,0
2360,-6,1,4,-1,109,9,-52,-23,0
2410,8,0,-2,-14,46,5,31,-14,0
2460,-4,2,9,86,40,11,26,-21,2
2511,-22,-7,-5,-26,24,17,33,27,2
2563,2,-7,-16,-102,-44,-3,-45,10,2
2613,-5,-1,-4,6,31,11,20,3,2
2664,12,2,12,103,82,-5,-2,-4,2
2714,-3,0,-4,-31,-40,6,-17,4,2
2765,-1,0,4,-7,14,5,29,-7,2
2815,18,-4,-13,-71,-12,-4,-34,21,2
2866,1,-1,1,7,49,-6,-45,0,2
2916,-1,-5,-9,-60,-44,-6,27,11,2
2967,-1,0,6,1,35,-8,-11,37,2
3017,2,0,5,23,50,-15,-4,-9,2
3069,-7,-2,2,-1,-20,-16,-14,-16,2
3120,7,5,9,-4,-2,4,10,5,2
3172,-2,-6,-16,-2,-13,-2,18,5,2
3223,-2,-2,-8,12,22,5,2,9,2
3274,4,-4,-6,17,51,5,8,12,2
3327,-2,0,-1,-5,-14,-7,-7,-8,2
3377,-2,2,4,14,49,2,3,7,2
3427,-1,2,11,-10,0,-1,1,1,2
3477,-3,-4,-6,0,1,0,0,-2,2
3528,-3,-1,2,1,3,-1,0,-3,0
3578,0,0,5,2,-2,-3,-2,-1,0
3629,-2,-1,-3,6,4,-3,-1,0,0
3681,0,0,-3,-5,-1,-1,-1,-1,0
3732,-1,-1,2,-1,-4,2,4,2,0
3782,0,0,2,2,7,0,-2,-2,0
3834,0,-1,-1,2,-12,0,-1,0,0
3884,-2,-1,0,-1,-2,-3,10,-1,0
3936,0,-3,-7,-1,9,-1,-3,-1,0
3987,-2,0,1,0,6,-3,1,-1,0
4037,-3,-2,-2,-4,-6,1,-3,-1,0
4089,-1,-1,-3,2,-8,1,3,1,0
4141,-1,0,6,11,9,-1,0,-2,0
4191,2,0,4,-3,0,-1,-17,-1,0
4243,-1,-1,2,0,3,0,6,-1,0
4293,-1,-2,3,-4,26,1,2,-2,0
4344,0,0,-4,-1,9,-3,-6,-2,0
4395,4,-2,-10,-12,-6,-1,15,18,0
4446,8,-3,-2,0,-10,-10,-19,9,0
4496,4,3,5,-6,73,17,-2,0,0
4548,-14,1,-1,-48,-62,-23,-10,-22,0
4598,-16,-8,-10,-61,-31,-13,-76,-18,2
4649,26,-3,-13,-2,-19,11,7,-12,2
4700,10,4,13,-5,23,27,-64,2,2
4752,-4,3,8,-34,38,11,17,0,2
4803,7,1,-9,-70,-15,13,55,-38,2
4854,5,0,-2,-12,27,1,-23,6,2
4905,7,0,-5,14,7,3,60,54,2
4956,-2,-2,-10,-11,96,8,-6,12,2
5007,4,0,0,-8,-6,9,-24,26,2
5058,1,-2,-3,-30,-31,2,-42,-28,2
5109,2,-1,5,41,80,0,19,2,2
5160,-3,-4,-1,18,-3,-2,23,20,2
5211,-10,-3,-6,2,-25,-8,-15,-18,2
5263,0,0,-2,-3,3,-7,-8,0,2
5315,2,1,2,1,5,-31,-1,4,2
5366,0,-1,-2,0,-16,3,-8,9,2
5417,5,1,-2,-1,17,21,-10,2,2
5468,5,0,0,-22,-4,-4,-1,2,2
5518,-1,-3,-4,-5,-13,-4,-9,-5,2
