millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0
102,-3,-2,-4,-3,1,-2,-2,-2,0
153,-5,-2,-3,-1,-4,0,8,-2,0
204,0,-3,-5,4,-2,-1,-3,-3,0
255,0,1,0,2,19,4,-1,0,0
306,-13,-2,-1,-1,6,-1,0,-2,0
356,-13,-5,2,8,24,0,2,-4,0
407,4,18,5,3,6,11,35,4,0
457,-64,15,5,3,4,7,-42,-79,0
509,61,7,-4,11,11,13,-18,104,0
561,-103,-26,-9,7,13,-24,19,-61,0
611,-44,21,14,-5,8,25,-57,-25,3
662,-63,-29,11,17,22,23,-19,48,3
713,-48,-36,-8,-5,4,-27,-53,-16,3
764,14,7,0,7,32,21,-53,2,3
814,0,4,-4,-17,-28,-14,-21,-16,3
864,-1,-14,-5,-8,19,6,-14,1,3
915,-2,2,-2,1,7,-18,-67,4,3
988,-54,-3,1,-1,5,10,24,-33,3
1038,94,22,6,11,2,-7,39,-27,3
1089,-57,-1,-1,-10,-11,-14,1,4,3
1140,-14,-2,-5,-9,-36,-3,-12,-16,3
1190,37,-1,-2,-6,-12,24,-24,6,3
1242,10,-11,-7,-3,-1,12,2,-38,3
1294,-19,4,-1,-15,-6,19,10,31,3
1346,43,-2,0,10,52,2,9,0,3
1397,-6,-1,6,1,-7,-7,7,36,3
1446,-14,-6,-3,0,5,-3,13,33,3
1497,-18,1,10,-17,-20,-8,-7,-4,3
1547,-2,-3,9,-4,-2,-5,0,2,3
1599,-7,-8,-12,3,-6,-3,-3,-2,3
1649,2,5,13,0,-3,-3,-2,-2,0
1702,-4,-3,-5,0,-3,-4,-1,-1,0
1752,-2,0,3,6,-10,-3,1,0,0
1804,-1,-1,2,6,6,0,1,0,0
1854,1,-1,-2,8,2,-2,-3,-3,0
1905,-1,-2,-2,-10,-11,-4,-6,0,0
1955,-2,0,-6,-4,0,-1,-1,0,0
2006,-3,0,5,0,12,-1,-1,-1,0
2057,-1,0,1,6,14,1,3,-1,0
2107,0,-1,-1,0,10,1,1,-2,0
2158,-3,-3,-8,-4,-1,1,1,-1,0
2209,-4,0,-1,-3,3,-4,-3,-1,0
2259,10,1,-1,-3,-2,2,-3,4,0
2310,20,2,-2,3,-4,-1,-44,18,0
2361,-1,0,0,0,20,1,-20,-10,0
2412,-2,-3,-6,-13,-22,-8,10,1,0
2463,-21,2,0,3,-4,-8,-7,-21,0
2514,-8,-3,-1,-2,-6,-7,39,1,0
2566,-1,-2,-4,-2,9,-19,-81,22,0
2617,-122,21,0,-2,0,-3,-24,10,0
2668,-29,-22,-8,-2,-12,2,-62,-45,3
2718,72,17,1,-13,-21,-8,-63,98,3
2769,-21,-4,2,43,89,9,41,-32,3
2819,-112,-27,-1,-9,12,23,34,-58,3
2870,73,-18,-10,-12,-21,0,-38,106,3
2921,-36,3,-3,-1,6,4,-14,1,3
2971,15,-16,-1,1,-17,7,76,41,3
3022,67,5,-4,-13,-7,0,-9,13,3
3072,29,-2,-1,-8,-11,2,-5,5,3
3122,26,13,3,1,1,25,19,-16,3
3173,64,1,1,4,3,7,34,-37,3
3224,27,1,-2,-1,-15,-4,44,1,3
3275,-49,4,-3,-17,-2,2,-6,14,3
3325,-30,-13,-5,-3,10,-3,-70,-14,3
3375,-91,3,-1,8,2,-1,17,18,3
3425,48,0,-6,-8,0,12,12,27,3
3476,-39,-6,1,4,5,-6,-8,14,3
3527,-35,3,0,6,6,0,2,-23,3
3578,81,11,1,6,28,10,41,1,3
3629,-56,2,-3,-2,16,15,1,5,3
3681,-17,3,-1,0,18,-1,4,14,3
3732,-14,-3,-3,-8,-13,-5,-46,-9,3
3783,-4,-4,-1,-4,-8,0,5,3,3
3834,0,-2,-6,-14,-1,2,2,1,3
3886,0,-1,-2,-1,0,2,3,1,3
3937,-4,1,4,-7,-6,-4,0,1,0
3987,0,0,5,0,-1,3,-2,0,0
4039,1,0,1,-9,-4,-2,-2,-1,0
4106,-3,-1,-2,10,22,-6,-3,0,0
4157,0,0,2,-9,1,2,0,-1,0
4208,-1,-2,-4,-1,1,-3,-1,-4,0
4259,-2,-2,1,2,-2,-1,-1,-2,0
4309,-1,0,7,14,34,2,0,-2,0
4361,-3,0,0,2,-21,2,1,1,0
4412,0,1,2,5,6,-1,0,-1,0
4463,0,-1,-2,-6,9,-2,-5,2,0
4514,3,-1,-1,-2,26,3,5,2,0
4566,-13,-4,0,-6,-5,-6,-8,4,0
4617,-6,0,3,9,-6,3,4,-4,0
4668,-37,-10,-2,-5,1,-2,-3,7,0
4718,-21,-1,-2,-8,-7,-6,-4,14,0
4768,-4,3,1,0,9,0,-12,-6,0
4819,61,0,-2,-5,-9,-6,-45,31,0
4869,-8,6,4,8,25,15,6,14,0
4920,9,6,-6,-4,-5,-27,-97,47,0
4971,-62,-1,0,4,45,-16,-3,-55,0
5022,29,7,3,-12,-51,-2,35,-30,0
5073,44,24,0,-19,-46,-4,-55,-14,3
5124,-86,-10,-2,9,37,28,66,-95,3
5176,27,-7,3,5,22,5,-13,34,3
5227,11,2,-1,0,-14,-10,19,5,3
5278,-3,7,2,6,-10,-12,3,5,3
5328,19,-2,0,-4,-13,7,25,-33,3
5379,60,-3,-5,0,0,-2,-18,18,3
5430,61,-4,0,-6,-8,24,11,12,3
5481,-74,1,-1,-7,-12,-3,-18,-11,3
5532,68,3,-2,-6,-3,1,2,-1,3
5582,52,-5,-5,-10,-15,7,9,-21,3
5634,5,2,0,-10,-12,-12,-19,9,3
5685,-99,-5,-2,-7,-13,0,-15,-1,3
5737,35,2,-2,-13,-8,15,18,10,3
5788,17,2,1,1,22,-13,-2,3,3
5841,-6,0,0,-1,-20,-13,-11,4,3
5891,104,12,-1,-3,-10,-5,35,14,3
5943,-70,-4,1,1,2,0,-2,4,3
5993,-34,-3,0,6,23,9,-7,-10,3
6044,-5,-3,-16,-4,8,-1,-5,-4,3
6095,3,-3,-7,-3,0,-1,-3,-3,3
6146,-3,-2,-1,-16,-3,-3,-5,-2,0
6197,0,-1,-1,0,-7,-3,0,0,0
6249,-1,-4,-9,2,33,-1,-2,-3,0
6299,-1,-2,0,-9,2,9,-1,1,0
6351,-1,0,2,10,-5,2,0,0,0
6403,-1,-2,-7,-8,12,17,1,-1,0
6455,-2,-3,-10,-3,-15,-6,-1,-2,0
6507,-1,0,3,0,22,5,1,-2,0
6558,-1,-2,-3,-9,-21,-3,-3,-2,0
6609,-2,1,-1,-2,-16,0,1,3,0
6659,-1,-2,-5,-4,-16,-2,-2,-1,0
6710,6,1,0,7,55,3,-1,3,0
6761,25,5,2,-3,-21,4,-2,2,0
6812,-9,-1,3,2,6,1,-11,1,0
6863,-10,0,-2,-7,-25,-7,8,-3,0
6914,-18,4,-1,-5,-11,0,-25,-7,0
6965,3,-15,-2,0,-6,-12,-24,6,0
7016,-20,5,-3,-10,-34,-2,-34,-5,0
7067,86,18,-4,-18,-34,1,-14,14,0
7117,-17,-9,1,10,42,16,-26,-8,0
7169,78,-8,-4,-4,-20,-1,3,-20,3
7220,-55,-21,-1,4,-14,-45,-36,12,3
7271,58,15,0,-3,18,32,-7,-9,3
7322,49,-11,0,10,-12,-11,-5,-11,3
7373,-8,-12,-6,6,-3,-4,-29,-11,3
7424,-48,-2,0,-4,-11,1,17,-9,3
7474,127,9,-4,-10,-15,7,36,-21,3
7525,6,0,5,10,7,-9,4,-19,3
7575,7,-1,0,-6,33,8,5,0,3
7626,-49,-7,-1,-4,23,-11,-35,17,3
7677,-77,-29,-5,-4,11,-8,-34,23,3
7728,-69,-4,-3,1,-14,3,13,-25,3
7779,40,7,-1,6,17,-8,-5,-23,3
7830,-26,4,-1,-8,-12,10,-8,-61,3
7880,-14,-7,-1,-3,-12,-3,-9,10,3
7931,109,11,0,-6,-6,18,46,74,3
7982,-17,5,-2,-3,-21,-3,4,-23,3
8033,5,2,1,1,-4,0,-9,-8,3
8084,-3,2,15,17,2,-3,-7,-5,3
8134,1,0,5,-2,1,-3,-2,-2,0
8185,-3,-6,-11,-4,0,-2,-1,-3,0
8236,0,1,-3,-4,-26,4,-2,-1,0
8286,2,2,6,4,-9,6,3,4,0
8337,-1,1,1,22,29,2,1,2,0
8388,-1,-2,0,-6,-10,-1,-1,-1,0
8439,0,-1,3,-3,-11,-1,1,0,0
8490,-1,-1,-1,-4,-9,0,-1,-2,0
8541,0,-2,-3,-3,-13,-2,-12,0,0
8592,0,0,0,4,-2,1,-14,-2,0
8643,3,-2,-1,-7,-19,-2,-4,2,0
8693,3,1,1,2,-1,3,-1,2,0
8744,-1,1,-2,-4,7,6,1,0,0
8795,-1,-3,-3,-6,-2,-3,-3,-2,0
8846,4,-1,0,2,-2,0,11,7,0
8897,37,5,-2,1,-3,-1,-3,13,0
8948,6,0,3,3,19,-2,-1,5,0
8997,-18,2,0,-2,-1,2,-26,6,0
9049,-46,1,0,-1,4,6,-5,-2,0
9099,34,4,0,-3,-10,-2,9,20,0
9151,101,21,1,-10,-65,-46,63,-21,0
9204,-81,-85,-29,-17,6,23,76,-81,0
9256,-60,15,7,-1,-5,-6,-3,-3,3
9306,79,17,1,11,5,-12,23,-20,3
9357,57,0,-10,-15,-21,-28,29,69,3
9408,-70,12,2,-1,-3,-6,-10,-4,3
9458,-15,20,0,-3,-6,0,-18,-24,3
9509,7,-1,-3,-3,-11,-18,-15,13,3
9559,38,-17,-3,-3,-32,5,39,10,3
9609,29,1,0,-1,7,13,-36,10,3
9660,-35,-15,-2,0,22,1,11,-13,3
9710,13,31,6,-3,1,4,23,52,3
9762,-128,-7,-2,1,3,-11,-36,-47,3
9813,28,-5,-2,-1,-8,-5,-15,-15,3
9864,96,-1,-1,-2,-4,0,1,-3,3
9914,20,9,1,-1,-4,-4,-15,6,3
9965,-1,0,3,9,9,6,-12,-9,3
10017,-39,8,1,-2,-7,-14,12,5,3
10070,8,4,-1,-4,-20,-6,-29,-23,3
10122,-4,-4,-2,-1,-1,-9,35,-33,3
10174,13,-13,-41,-15,-12,4,2,5,3
10225,6,5,9,0,-1,-1,-2,2,3
10275,-6,0,7,-3,0,-1,-3,-3,0
10327,2,0,1,3,-3,-3,-1,-3,0
10378,2,0,2,0,1,0,-1,-1,0
10428,0,2,8,3,-2,-4,-1,0,0
10479,0,-1,-1,2,4,-1,-1,0,0
10529,1,0,-1,-5,-1,2,1,-1,0
10580,0,-1,-4,-4,-3,-1,-3,-1,0
10630,-1,0,-2,-2,-3,-1,-2,-1,0
10681,0,-2,-1,-1,-1,-2,-1,-1,0
10732,-1,-1,0,-3,-2,-1,0,-1,0
10783,-2,-2,0,-2,-3,-1,0,1,0
10834,0,-1,5,-3,-1,-3,-1,-1,0
10885,-1,-3,-3,-1,-1,-2,-2,-1,0
10935,-1,-1,-2,-3,-1,-1,0,-1,0
10986,0,-2,-2,0,-1,-1,0,-1,0
11039,-1,0,1,1,-2,0,0,-1,0
11091,-3,1,-2,-1,-3,-3,-3,-4,0
11142,-2,-3,-2,-3,-1,1,-1,-1,0
11192,-1,-1,-1,0,1,-4,-2,-3,0
11243,0,1,2,-1,-3,-1,-1,-1,0
11293,-3,-1,-1,-2,-1,-3,-2,-1,0
11345,-3,-3,-17,-18,-2,-2,-1,-3,0
11395,-2,-1,-3,-2,-1,-1,-2,0,0
11446,-1,-3,0,1,-1,0,0,-1,0
11496,-1,-2,-4,3,-2,-1,-2,-1,0
11547,-2,0,0,1,-1,2,-2,0,0
11598,0,-1,0,-1,-2,-2,-2,0,0
11650,-1,-1,-2,0,0,-2,10,0,0
11700,-1,-2,1,-1,-2,0,-3,-5,0
11751,-2,-2,-1,-6,-2,-1,0,-1,0
11802,-1,-2,-1,-3,-1,2,-4,-1,0
