millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0
152,-1,-3,-8,4,-6,-2,1,2,0
203,-2,-2,-3,-17,-5,6,1,0,0
254,1,3,14,9,-10,-1,1,1,0
304,-2,-5,-2,0,5,-4,0,0,0
355,0,1,0,40,19,20,5,2,0
406,3,6,31,109,114,-8,-2,0,0
456,0,0,0,-3,15,6,-1,-2,0
508,-5,-20,-54,-82,-117,-2,1,1,0
559,2,6,32,21,-65,-38,-5,-2,0
609,7,20,52,53,80,-9,3,3,4
660,-3,-5,-7,-41,-28,3,-2,-2,4
711,-1,2,13,33,13,-27,-4,-1,4
761,0,-1,0,29,66,-15,0,0,4
812,-9,-6,-23,-17,-74,18,-2,-5,4
862,-5,-6,-22,-116,-86,-24,-8,-5,4
913,-1,-2,-17,-32,-26,-1,-5,-3,4
963,-2,-1,7,30,33,-3,-3,0,4
1035,-2,1,2,-11,-30,-12,-4,0,4
1086,-2,-4,-11,-27,-76,-30,-5,-2,4
1137,1,4,10,87,96,9,6,0,4
1188,-4,-6,-11,23,-37,-2,-2,-1,4
1238,-1,-1,9,69,37,15,-4,-3,4
1289,2,2,-2,-7,31,-16,-1,0,4
1340,-1,-2,-4,-47,-54,-7,1,-2,4
1391,-1,-1,-1,8,-76,-15,-5,-3,4
1441,-2,-4,-11,5,35,14,0,2,4
1491,-4,-4,-13,-28,30,12,4,-2,4
1542,-2,0,-8,-42,-57,-24,0,0,4
1593,-2,-1,0,0,-27,1,-1,2,4
1644,0,-4,1,4,25,-3,-2,-3,4
1695,-4,2,7,18,10,3,-1,1,4
1746,3,1,-1,-5,11,1,-1,0,4
1796,-1,1,2,5,-1,-2,-1,-1,4
1847,-19,-6,1,1,1,-1,-1,-2,4
1897,0,3,4,-4,-3,0,1,-1,4
1948,1,-1,-4,-1,-1,-1,0,-1,0
1999,1,2,8,8,-4,0,1,1,0
2050,0,-1,-2,-4,3,0,-2,0,0
2101,-2,0,10,9,10,-2,-1,-1,0
2153,0,-2,-3,0,-4,-2,-1,-1,0
2204,-2,-3,-9,-2,-1,0,-1,-2,0
2256,0,-3,-2,-3,-6,-3,-2,0,0
2307,-2,-2,-5,-19,4,-1,-1,-3,0
2358,-1,-1,6,4,-1,-2,0,0,0
2410,-2,-2,-3,-1,-8,-1,-2,-1,0
2461,-3,-2,-5,1,-3,-2,-1,-4,0
2511,-2,-1,-5,2,2,0,-1,-2,0
2562,0,1,9,0,-10,-9,-3,-1,0
2612,0,0,1,0,-5,4,0,0,0
2663,1,0,-2,11,5,-8,-1,0,0
2714,-1,-3,-5,-11,10,-7,-3,-2,0
2767,0,0,7,7,-29,-11,0,0,0
2816,2,2,9,-8,-14,-14,-5,-2,0
2867,2,14,34,10,-14,-7,-2,1,0
2917,1,0,9,3,22,10,4,1,4
2969,-1,-3,-14,-27,-81,-11,-1,0,4
3020,-3,-6,-9,-9,65,4,-3,-3,4
3071,-3,-8,-13,6,2,-5,1,-1,4
3122,-2,-3,-16,9,-15,-11,-1,-2,4
3174,-2,-1,-2,-32,-62,-6,-2,-2,4
3225,-2,-4,-12,7,-28,-6,-5,-4,4
3277,-4,-3,-10,6,2,4,-3,-4,4
3327,-4,-11,-45,-77,-30,-6,1,-3,4
3378,1,6,29,26,-25,22,4,2,4
3429,-1,-2,-7,-36,-21,-9,-1,0,4
3480,-2,-8,-31,-30,-102,1,-4,-3,4
3532,1,3,13,4,39,2,2,0,4
3582,-1,-2,2,-5,-24,-5,-5,-1,4
3632,0,4,5,14,-6,-10,-5,-1,4
3684,-7,-19,-71,-59,-51,-4,-5,-3,4
3736,-1,0,7,2,18,1,-2,-2,4
3786,1,3,17,25,-15,0,-1,1,4
3837,0,0,-4,-22,20,-7,-2,-2,4
3889,-4,-7,-25,-1,-20,-7,-5,-2,4
3941,-4,0,1,-13,-6,0,0,-2,4
3991,0,0,3,-5,1,-3,0,-1,4
4042,2,-1,2,7,2,-1,0,-2,4
4094,-37,-14,0,-4,0,-1,-3,-6,4
4146,5,0,0,-1,0,0,1,0,0
4196,0,-2,0,1,-1,-3,-1,0,0
4248,1,0,0,-2,-1,-1,-1,0,0
4300,0,-1,-9,-7,-4,-1,-4,-1,0
4350,-1,-1,1,-4,1,0,-1,0,0
4400,-1,0,1,-1,-2,-2,-1,-2,0
4451,1,1,7,1,-2,-2,1,1,0
4503,-1,1,1,1,3,0,-3,-2,0
4555,0,-2,-4,2,-3,1,0,-2,0
4606,0,-1,0,-3,-12,0,0,-1,0
4657,1,3,10,5,-1,1,1,0,0
4708,0,-3,-3,1,4,-3,0,-2,0
4759,2,4,23,12,7,-3,1,-1,0
4809,0,0,-6,-9,10,5,-1,0,0
4860,0,2,5,13,-4,0,-2,0,0
4911,0,-3,-3,42,13,14,0,-1,0
4962,1,2,24,-11,27,4,0,0,0
5012,-1,0,3,-28,-43,-6,-4,-2,0
5063,-3,1,21,61,25,-19,-5,-3,0
5114,6,21,58,46,40,4,3,3,0
5165,0,3,13,-14,-36,21,-3,-2,4
5217,-2,-9,-39,-22,-5,-14,1,-1,4
5267,-2,-4,-18,13,36,12,4,2,4
5320,1,1,-4,-12,-13,-14,-6,-1,4
5370,-4,-12,-46,-75,-14,-15,2,-3,4
5421,0,-2,-3,-54,23,10,5,0,4
5472,-2,0,6,46,30,0,0,-2,4
5524,3,7,24,9,27,20,3,1,4
5574,1,3,11,26,17,-2,-2,0,4
5626,2,6,29,53,-3,-5,-2,-3,4
5677,-3,-8,-19,-68,-44,-28,-3,-2,4
5728,0,2,15,26,-14,9,-3,-1,4
5779,0,-1,11,2,23,7,2,-1,4
5830,0,3,19,32,50,-4,-1,1,4
5881,-1,1,10,14,-15,-3,-1,-5,4
5931,0,0,-1,0,-18,1,0,1,4
5984,11,0,0,-10,-8,0,1,-2,4
6036,0,1,-1,-1,-3,-1,-1,0,4
6086,3,1,9,7,-4,-1,-2,-3,0
6139,11,-1,3,-1,-1,0,-1,1,0
6189,-8,0,0,0,-2,-1,-2,-4,0
6240,2,-1,-3,-2,0,0,-1,-1,0
6291,-4,-2,-4,-2,-3,-2,-3,0,0
6341,-2,0,-1,-2,-1,-1,-1,0,0
6392,-2,-1,-2,-1,-1,-1,0,-2,0
6445,0,-2,3,0,-2,-2,0,-1,0
6495,0,-1,0,-1,-1,-1,-2,-2,0
6545,0,0,-2,1,-2,-1,-2,-2,0
6596,0,-1,2,2,1,-4,-1,-3,0
6646,0,0,2,-1,0,2,-1,-1,0
6697,-1,-1,2,-3,4,0,0,-1,0
6748,-1,-2,-3,-3,0,-3,-1,0,0
6798,1,2,13,6,16,0,0,-1,0
6849,-1,-1,-6,-2,10,8,0,0,0
6900,-4,-9,-25,-13,9,-3,-2,-3,0
6951,-3,-9,-17,1,26,2,1,-2,0
7002,-3,-1,-2,-21,-36,-4,-1,-2,0
7052,-3,-7,-20,-46,-42,-20,-8,-4,0
7104,-1,-5,-5,21,-1,-11,0,-1,0
7155,5,14,34,90,110,17,5,6,0
7206,7,31,116,-9,70,2,-1,1,4
7257,-5,-19,-68,-48,-72,3,-1,-2,4
7308,4,15,63,29,-33,9,1,-1,4
7359,1,7,17,92,48,0,0,0,4
7410,4,14,67,64,10,-10,-3,1,4
7461,1,3,8,-4,-28,1,0,0,4
7511,-7,-22,-69,-57,24,0,-3,-3,4
7563,-2,-3,-10,7,-5,7,-1,-2,4
7615,4,11,41,85,-14,4,-1,2,4
7666,2,-1,-8,-28,1,3,4,2,4
7717,1,-3,-20,21,-41,5,0,2,4
7768,0,-1,0,33,-4,-3,2,0,4
7818,-4,-3,-3,-34,-2,5,-1,-2,4
7870,-4,-8,-28,-25,-44,-6,-3,-5,4
7921,0,0,9,51,104,14,0,0,4
7971,0,-3,-6,-6,3,-4,-3,-1,4
8023,1,9,43,53,-12,-6,-1,-2,4
8074,-2,-6,-21,-41,-48,-16,-3,-3,4
8125,0,1,4,11,22,-3,2,0,4
8176,-2,-3,-11,-11,-9,1,0,-1,4
8227,-1,-1,1,-2,-4,2,1,-2,4
8278,2,-2,-1,-9,-9,0,-1,0,4
8328,-3,-2,-6,-8,-14,-2,0,-2,4
8380,0,1,-1,-3,1,0,0,-1,4
8430,1,-6,-4,-2,-2,-2,-3,-3,0
8481,-5,2,-1,-1,-3,-1,-2,-1,0
8531,-2,-2,-3,0,-2,1,1,-1,0
8582,-4,-2,-4,8,0,0,-2,-1,0
8633,-1,-1,-1,-3,-3,0,2,-1,0
8683,-1,0,2,-4,-3,-1,-2,-2,0
8735,-1,-1,-1,-3,1,-1,-1,-1,0
8786,-2,-2,-5,0,-2,-1,-1,-1,0
8838,-1,-1,4,-1,-2,0,-3,-1,0
8889,-1,-2,0,-2,0,1,2,2,0
8940,-1,1,0,-3,1,-1,-1,-2,0
8993,-1,0,-2,-3,1,0,-1,0,0
9045,-4,-7,-14,-21,-7,-2,-2,-5,0
9095,0,-1,4,1,3,-1,0,-1,0
9147,-3,0,-1,-8,3,2,-1,-5,0
9197,0,-2,-20,-45,-1,18,2,1,0
9249,2,2,11,11,44,3,1,1,0
9299,-3,-3,-5,9,15,-4,-1,1,0
9351,0,-1,-10,15,29,-8,0,-1,0
9402,-7,-18,-54,-6,61,-4,-5,-4,0
9454,-3,-2,26,1,-18,4,-5,-4,0
9506,-3,-2,0,-27,-29,1,-1,-2,4
9556,-3,-7,-11,-64,-83,-6,-3,-4,4
9608,-5,-8,-18,-3,7,-12,-6,-4,4
9658,0,-2,-11,32,24,14,0,-2,4
9708,0,0,3,2,-43,-12,-4,-1,4
9760,0,1,11,-8,75,-22,-4,-2,4
9811,4,5,15,32,42,3,2,2,4
9862,-1,-1,-3,-4,30,1,0,-2,4
9915,1,1,9,-13,-55,-3,1,2,4
9966,0,9,37,87,23,4,-1,-1,4
10017,-2,-3,13,15,-28,9,2,-3,4
10067,1,0,4,20,-33,-1,0,0,4
10119,-2,-3,-13,-10,-16,-13,-2,-2,4
10170,-2,-3,-11,-4,2,1,-2,-1,4
10223,-2,-4,-7,-5,-29,-5,-3,-3,4
10274,-3,-2,-7,-7,1,0,-2,-2,4
10324,-1,0,5,0,-11,0,-2,0,4
10376,0,-3,-6,-11,-9,-4,0,1,4
10427,-1,-2,-2,0,1,-2,0,-2,4
10479,0,-1,-2,0,-1,-2,0,-1,0
10530,0,-1,-1,-1,0,1,-2,-1,0
10580,-1,-1,-2,-2,-2,0,-2,-2,0
10630,-2,-2,-1,0,-1,1,0,-1,0
10681,0,0,1,1,0,-1,-2,1,0
10733,-2,-2,-4,-1,-8,-2,0,-2,0
10784,-2,0,0,0,-3,0,-3,-3,0
10835,-1,-1,1,1,-1,-1,-2,-2,0
10886,0,-2,-6,-4,-2,1,-1,1,0
10936,-1,-1,0,-1,-2,0,-1,-1,0
10986,-1,-2,-11,-13,0,-2,-1,0,0
11037,-2,-3,0,3,0,-2,-1,-2,0
11089,-2,-1,1,3,4,1,-3,0,0
11140,-1,0,-2,-2,0,-3,0,-2,0
11191,-3,-2,6,11,3,0,-1,-1,0
11244,-2,-1,1,-1,-2,-1,0,-1,0
11295,-1,-2,-3,-4,-4,-1,-1,-2,0
11347,0,1,4,1,3,-1,-1,1,0
11399,-1,-1,-2,1,0,-2,-1,-2,0
11449,-1,1,10,-3,-6,-1,-1,-1,0
11499,-2,-1,-4,-4,-1,-1,0,0,0
11551,0,-1,3,-6,-4,-2,-2,-1,0
11601,-2,-3,-7,-1,-1,-2,-1,-2,0
11653,0,0,-6,-2,-3,1,-1,1,0
11703,-2,-1,1,3,-5,-1,-1,-1,0
11755,0,2,1,0,-1,-1,0,2,0
11805,0,0,0,-1,4,-1,-2,-2,0
