millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
0,0,0,0,0,0,0,0,0,1
51,0,0,0,0,0,0,0,0,1
103,0,0,0,0,0,0,0,0,1
155,-1,3,11,-1,-7,9,-1,0,1
206,0,-2,-4,-3,-13,-4,-8,-1,1
257,-1,-5,-10,-5,-6,-6,-2,-3,1
308,-1,-3,-2,-2,-17,-5,0,2,1
359,2,4,19,14,-17,3,4,1,1
410,0,0,-3,-7,3,-9,-3,-2,1
461,1,-4,-10,-3,2,21,5,-3,1
512,-1,-2,3,-1,3,2,-1,0,1
564,0,-3,-7,-3,-6,-2,-4,-3,1
615,0,0,17,-1,-3,-1,-1,0,1
666,-1,-3,-3,20,10,5,0,-1,1
717,-2,-2,5,10,21,6,2,-2,1
768,-4,0,-2,-10,-15,-2,-1,-2,1
818,-2,-7,-35,-33,-1,0,-1,-4,0
869,-3,-5,-24,-28,11,0,-1,-2,0
921,-3,-2,-9,-16,-2,-1,-2,-2,0
971,0,1,5,1,0,-1,-2,2,0
1022,0,1,4,-3,-5,1,1,-1,0
1073,-1,0,16,14,-17,-11,0,-3,0
1124,-3,-2,-5,7,21,0,0,0,2
1176,1,0,-1,-4,0,-8,-1,1,2
1226,-3,-2,-3,5,0,2,-1,-1,0
1277,-2,-3,-2,-3,-12,0,-1,-1,0
1328,0,2,6,20,19,-3,-1,-1,0
1379,-3,-3,-6,8,7,0,-2,-2,0
1429,-2,-4,-12,-11,-9,-3,-2,0,0
1480,0,-3,-12,-10,2,9,5,0,0
1530,0,5,12,-2,-24,-9,-3,-1,0
1581,0,4,13,13,0,-2,-5,0,0
1632,-2,-2,-5,-4,-6,-4,-3,-2,0
1685,-3,-3,-17,-10,-12,5,1,-2,0
1737,0,-1,3,1,6,6,0,-1,0
1787,-4,1,4,-5,18,9,-2,-1,0
1838,-1,0,-7,5,11,1,1,-1,0
1889,0,1,13,13,19,4,-2,0,0
1941,0,0,3,-2,-7,4,3,0,0
1992,0,2,7,2,0,2,-1,0,0
2042,-3,0,4,10,-5,-6,-2,-1,0
2093,-1,-2,-8,-9,6,0,-4,1,0
2145,-2,-1,-2,1,-17,-2,-2,-1,0
2196,-3,-1,-8,1,1,6,-1,-2,0
2248,-2,-1,-3,-13,-3,0,0,0,0
2299,-2,-4,-13,-1,-2,-3,-2,-2,0
2350,-1,-2,0,3,12,-5,0,0,0
2401,0,2,6,-1,4,7,1,0,0
2452,1,2,13,11,5,-2,-2,-1,0
2503,0,2,-3,-16,-27,1,-1,0,0
2554,-3,-3,3,2,-4,4,0,0,0
2605,-1,-2,-6,-1,-2,-1,0,0,0
2656,0,0,2,3,6,17,2,0,0
2706,0,-4,-12,0,2,-1,-3,-3,0
2758,-2,-3,-16,4,16,-1,-4,-4,0
2810,0,0,2,-2,-10,-2,-1,-1,0
2860,-3,-3,4,4,-5,1,-2,-2,0
2911,0,4,16,8,-12,-10,-4,0,0
2962,-1,-2,-3,4,13,-8,-2,-1,0
3013,0,-4,-22,-23,7,8,5,0,0
3064,-1,0,6,9,-2,2,-1,-2,0
3116,-1,2,11,5,-11,-15,-4,-2,0
3167,-2,-3,-6,-1,8,-2,2,0,0
3218,0,-3,-6,8,10,-13,-2,-2,0
3268,-1,3,7,-2,-3,17,-2,-1,0
3319,0,-1,2,1,14,1,-1,0,0
3371,-1,1,4,-1,7,-7,-2,0,0
3422,-2,-1,3,5,14,-1,2,0,0
3473,2,3,5,-3,-12,-2,-9,-7,0
3524,-9,-1,6,13,6,-4,-4,-5,0
3575,-1,-4,-11,4,15,21,2,-1,0
3626,-1,0,6,8,5,-1,-13,0,0
3677,7,-2,-2,0,-17,0,0,1,0
3729,1,-3,-9,-8,-11,2,-1,-3,0
3781,1,-1,3,4,-14,17,17,1,1
3832,0,0,8,2,2,0,7,2,1
3884,-10,-5,-6,-8,-6,-4,2,-7,0
3935,-7,-4,-4,45,-14,-18,-4,1,0
