millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0
154,-2,-2,-1,1,-3,0,-4,-4,0
205,1,-2,-2,0,0,1,0,0,0
257,2,1,1,1,12,-21,-5,1,0
309,1,-1,0,-8,-11,1,8,5,0
362,-2,-1,0,-3,-3,-16,-3,-2,0
416,0,-1,-3,2,4,9,0,0,0
468,3,2,2,16,12,12,11,-3,0
521,-6,-4,-2,-3,-4,2,-8,-3,0
575,10,1,-4,6,58,4,11,14,0
627,-1,-6,-9,-14,6,0,5,2,0
680,-19,-4,-4,-9,-78,-53,-1,-67,0
733,-5,0,3,44,-37,-115,-50,-25,0
793,1,2,18,-35,21,112,20,-39,1
845,-24,-7,-8,-20,39,26,98,-26,1
898,-5,-7,-10,23,25,29,16,57,1
950,34,-2,3,-22,-29,-119,-14,1,1
1010,1,-1,-2,-14,104,-78,16,1,1
1098,4,5,13,6,-20,-71,11,41,1
1149,-28,-11,-7,-33,-46,4,-22,14,1
1203,-4,-6,6,-8,-57,-128,-27,10,1
1254,-9,-5,-4,22,37,21,24,-34,1
1314,0,2,15,-33,-83,-4,-1,42,1
1367,3,2,-4,5,40,-31,37,32,1
1432,-1,1,7,-2,-22,45,2,-48,1
1492,3,-9,-19,64,90,-9,0,-87,1
1544,28,8,-1,-8,23,12,-3,34,1
1602,-14,1,-1,-7,-5,4,2,3,1
1664,27,5,-4,-5,16,-4,15,6,1
1717,-1,0,4,-10,-39,-1,-14,7,1
1769,5,-2,-3,-6,13,0,3,-1,1
1829,-3,-2,-1,0,-11,0,-11,-8,0
1882,0,1,-3,-4,-1,-4,4,-1,0
1941,0,-3,-1,-1,-6,0,0,0,0
1994,-2,-1,-3,-3,0,-4,1,2,0
2051,0,-1,-1,-6,-6,-1,-2,-1,0
2116,1,-1,1,-1,15,-7,4,-2,0
2178,3,-1,-1,1,-2,-8,0,-6,0
2229,0,1,-1,-1,-14,21,6,1,0
2281,-3,-3,-4,-11,-6,-3,1,-1,0
2332,-2,-5,1,7,7,-11,8,2,0
2383,4,-1,-6,-20,6,-86,-48,-4,0
2437,-9,1,4,-15,-53,-75,-15,-36,0
2495,-7,8,9,-8,17,-81,3,-14,0
2552,23,10,10,12,74,127,80,1,0
2605,-10,-11,-16,-15,7,19,-18,-24,0
2664,-7,-1,2,4,-14,16,-1,48,1
2716,-8,-11,-4,30,-18,72,-30,43,1
2768,0,-1,5,-8,-40,-64,32,4,1
2826,-16,-1,3,29,49,44,29,-78,1
2877,9,-3,-6,-17,-51,-52,-31,32,1
2934,-2,-2,3,22,38,-32,5,24,1
2987,3,-4,-9,1,18,-3,-12,23,1
3045,11,0,4,29,55,25,62,18,1
3103,5,-4,-10,26,-8,-9,-21,41,1
3160,15,-5,-16,-1,2,-3,-30,109,1
3212,4,5,5,-21,-20,8,6,-9,1
3270,3,1,4,5,23,-56,-24,50,1
3327,-19,-4,-6,-7,-32,-9,-32,-61,1
3390,13,-8,-21,-14,-68,14,-21,52,1
3448,10,4,13,-13,50,-31,28,7,1
3500,-8,-1,-4,3,10,20,12,-28,1
3557,7,-2,-6,7,-4,17,-2,9,1
3610,9,13,-1,12,7,-14,-47,0,1
3668,-18,0,2,9,15,-3,-4,2,1
3726,-11,-4,-3,9,7,0,1,-9,1
3779,-5,2,3,8,4,-8,-5,1,1
3837,1,0,-2,-3,-14,-11,-8,0,1
3895,-6,-4,0,2,5,1,2,1,0
3946,2,0,-1,-1,-2,-9,-4,-5,0
4004,-1,0,2,10,43,3,0,-2,0
4061,-4,-1,-1,2,-21,-11,-5,-2,0
4113,-4,-2,-2,-2,1,29,2,-2,0
4165,-2,-2,-1,-6,-7,-5,-4,-4,0
4223,-7,-2,0,-7,-20,-9,1,-2,0
4282,-1,-2,0,1,9,0,-3,-1,0
4339,-2,-2,1,7,9,14,1,-4,0
4398,0,3,1,2,-10,-6,-3,4,0
4449,-5,-7,-4,-3,28,-38,-15,-10,0
4507,-9,-11,-22,1,-12,-34,53,-39,0
4558,-3,-11,-36,75,22,-90,-68,-8,0
4610,5,3,6,7,23,38,50,28,0
4662,-3,-1,-3,32,6,17,11,36,1
4720,1,-3,-2,-12,-35,42,-12,-32,1
4772,3,1,2,10,13,-40,11,5,1
4830,-7,-7,-9,9,-33,-37,-10,21,1
4889,3,0,-1,45,51,40,-33,-12,1
4948,-2,1,-6,-16,-23,0,21,-3,1
5004,-17,-6,-4,-8,24,16,-21,-4,1
5061,-7,-2,6,-8,-4,22,-2,-8,1
5112,-18,-6,-1,-5,-40,10,-30,-12,1
5169,-8,-3,1,14,-12,-26,-21,-27,1
5229,1,-1,5,-6,-20,8,-23,-20,1
5289,-12,-1,1,-14,-18,61,34,1,1
5350,27,11,8,13,31,52,-49,21,1
5407,3,1,-4,12,25,-30,8,-6,1
5464,4,-1,3,-4,-10,-4,6,-18,1
5521,-3,-5,-2,13,-4,3,3,-8,1
5579,16,-2,-2,-4,-5,-2,-25,10,1
5631,0,-4,-3,-1,1,8,34,1,1
5683,6,0,2,8,69,47,27,13,1
5734,1,-3,-2,-8,-7,14,7,1,1
5786,-2,-4,-4,-3,-14,-11,-4,-2,1
5845,3,-3,-8,-17,-16,-6,6,0,1
5903,-4,-2,-2,-9,5,-1,4,-2,1
5960,0,0,1,1,-3,-6,-1,-1,0
6017,-1,-2,-4,-8,-13,-4,1,1,0
