millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0
153,-4,-2,-3,-8,-8,-1,-22,-4,0
206,-10,-4,-3,8,17,5,15,-1,0
258,-2,0,-1,7,-23,-13,-14,-12,0
315,20,0,2,7,9,-7,-62,-2,0
366,-19,1,6,36,1,-1,-74,-22,0
418,25,7,3,-9,-74,-16,3,19,0
469,-29,-9,-14,-61,-32,-32,42,-82,0
521,16,-4,-5,-21,-8,14,-23,22,2
575,-3,0,-5,-80,-4,-1,61,27,2
627,7,-5,-7,-70,-72,-3,28,-3,2
677,21,4,0,19,-38,-19,67,30,2
732,0,-3,-7,-89,-100,-4,-5,-7,2
784,1,-1,-6,23,4,-9,-8,12,2
836,-8,-3,-2,-14,-20,-26,-65,-32,2
888,-8,-7,-11,5,-32,-5,-5,-2,2
940,8,1,1,12,70,17,-6,20,2
1021,-18,-7,-4,47,3,9,-55,-29,2
1087,1,2,5,-4,40,2,-5,-4,2
1140,6,-2,2,26,-26,8,-43,-27,2
1193,0,-1,1,-11,-18,0,-5,5,2
1247,0,-1,-2,-3,4,-3,11,0,2
1299,0,0,0,4,7,-1,0,-2,2
1353,-1,-2,-1,0,2,1,1,-1,0
1405,0,0,1,-2,0,-1,-2,0,0
1457,-2,-3,-3,-5,-7,5,4,-3,0
1516,-3,-2,-2,3,9,-2,0,2,0
1568,0,3,3,1,-8,-6,-10,0,0
1620,19,0,-1,-5,-4,-1,-1,-4,0
1679,-3,-2,-1,2,6,4,-6,-4,0
1738,-4,2,0,4,72,5,-8,-2,0
1790,-2,-1,-1,-9,-23,-6,7,-4,0
1850,-3,-4,-2,-5,1,-19,-11,-3,0
1910,0,2,2,34,30,-7,-15,2,0
1969,-1,-3,-1,-6,-5,5,-73,-3,0
2021,-3,10,15,26,36,10,79,18,0
2080,-23,-2,-3,17,-26,-8,-13,-10,0
2132,14,-3,-3,15,32,-2,-38,-33,2
2192,13,-1,-7,-33,7,6,-3,33,2
2244,3,1,7,47,31,40,78,15,2
2298,8,3,12,41,-8,-2,-28,7,2
2352,-10,-3,-7,10,-35,-25,17,-4,2
2417,4,4,10,66,42,-13,25,-33,2
2471,1,5,10,38,7,-9,-20,24,2
2525,-2,-3,-6,-31,-73,-22,-30,-9,2
2578,-5,-4,-4,12,49,20,-35,-5,2
2639,5,-3,-9,2,5,12,53,36,2
2692,-8,-8,-14,-28,-2,15,-40,-38,2
2753,-9,1,6,19,-31,11,-6,-57,2
2806,1,-1,-5,0,4,0,-49,-12,2
2867,1,-6,-13,-3,20,-2,58,25,2
2922,-3,-2,-1,14,-4,-2,-18,-7,2
2982,-3,-3,-3,1,0,-3,-2,-1,2
3036,-1,-1,-3,0,-3,-3,-4,-1,0
3095,0,-1,0,0,1,-2,-1,-1,0
3156,2,2,-2,0,2,-1,-6,14,0
3214,-3,-2,-1,-1,1,3,-1,-2,0
3266,-1,-1,0,-4,2,-2,2,-8,0
3317,0,-3,-2,0,3,0,-3,0,0
3373,0,1,6,31,14,10,-3,3,0
3430,-2,-1,-3,-10,0,-4,-8,0,0
3481,-2,-1,-3,-11,-22,0,17,0,0
3537,-1,-1,0,-4,5,-3,-2,-8,0
3592,1,0,0,-2,0,0,-8,2,0
3644,-1,0,-3,-5,8,-2,-7,-5,0
3695,0,-1,0,7,-2,-2,-51,2,0
3746,1,-2,-1,-5,16,8,-7,-3,0
3797,-1,-4,-4,-20,-37,-7,0,-14,0
3848,-1,-1,5,10,-44,-11,-61,2,0
3901,8,5,8,15,20,11,26,1,0
3966,-3,10,21,96,6,-20,16,-32,0
4018,-21,-1,1,66,2,-44,-2,-44,2
4073,10,7,16,43,75,15,-33,-9,2
4129,-14,-3,-8,-14,-13,17,46,6,2
4181,1,2,5,-41,30,44,26,4,2
4237,-28,-2,-1,-27,-22,9,23,-14,2
4292,3,-5,-11,-42,-8,1,9,-8,2
4345,0,-4,-2,4,19,10,-21,-4,2
4397,0,3,9,45,-23,21,20,5,2
4453,11,-3,-4,24,10,-11,-11,16,2
4505,-30,-6,-3,3,-1,10,32,-45,2
4558,7,1,1,9,-15,2,13,21,2
4613,-2,-4,-6,14,-3,-12,-5,-11,2
4668,4,-3,0,2,-11,-5,-21,-14,2
4722,4,0,-3,7,36,26,90,52,2
4774,0,-1,-3,-14,-10,-9,-38,5,2
4829,2,0,2,7,10,6,15,5,2
4881,-3,-2,0,31,25,8,-14,-4,2
4933,-1,0,0,-9,-5,-1,6,-2,2
4985,-3,-2,0,-5,0,0,-3,-3,2
5038,-2,-1,-3,-3,-5,-1,0,-2,0
5089,-1,1,-1,-2,0,1,-2,-2,0
5142,-2,-3,0,-2,-4,-1,-1,-2,0
5196,0,-3,-1,-2,2,-1,-2,-2,0
5248,-2,-1,-1,-2,-3,-1,-1,0,0
5300,-1,-2,-2,-3,-5,-2,0,-1,0
5352,-2,-2,-1,-2,-3,-2,-3,-3,0
5407,1,-1,0,0,-8,2,1,-1,0
5463,1,-1,1,25,4,-2,-4,-3,0
5515,-1,0,-2,-3,6,0,10,-5,0
5570,-1,-1,-2,-6,-7,-1,3,2,0
5622,7,0,4,13,11,0,-16,-8,0
5676,6,-1,-1,-10,-7,-2,-8,-5,0
5730,0,-2,0,1,21,-3,2,7,0
5781,0,-1,-4,7,4,5,3,4,0
5833,-8,-2,-7,-68,5,-15,-14,3,0
