millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0
156,36,-4,-1,1,7,1,7,15,0
208,-19,1,0,-2,2,-6,16,14,0
260,-15,1,-3,0,-8,-9,-48,-1,0
312,-52,-8,0,0,11,10,10,-43,0
364,24,15,4,2,9,16,101,28,0
417,-75,8,4,24,69,8,-53,-55,0
469,-43,-12,4,4,-29,4,-10,107,0
522,23,-1,8,3,0,19,-1,-4,3
574,-78,3,-6,-23,-41,-28,-63,32,3
626,126,0,-16,-25,-25,-58,27,-16,3
679,53,3,5,0,5,-10,45,80,3
735,-100,5,-7,-12,-15,-4,-7,33,3
792,-28,-7,4,9,-3,-2,-72,-71,3
844,25,7,-1,-7,-16,-29,-2,-15,3
898,36,3,-2,-5,16,-7,37,6,3
951,19,8,4,-13,-31,-3,-18,-9,3
1025,-104,-19,1,23,15,0,14,41,3
1079,86,15,-1,-6,-11,8,-7,64,3
1133,-27,-5,-1,-12,-8,14,-42,-27,3
1190,-53,0,1,0,-3,1,-9,-22,3
1242,-11,0,-2,-1,4,1,-7,-7,3
1294,5,-12,0,45,17,3,-4,-5,3
1345,-4,-4,-1,-4,6,4,-2,-4,3
1397,0,1,0,-4,-2,0,-1,-3,0
1448,-1,0,0,1,-11,-8,-1,0,0
1499,0,-1,0,-7,6,-2,-1,-2,0
1550,-2,-1,-1,0,7,6,1,-2,0
1606,-1,0,-1,-2,3,-1,-1,0,0
1657,-1,1,0,-1,-2,2,0,0,0
1709,-3,0,-1,-3,2,2,0,0,0
1760,-1,-2,0,1,5,3,2,0,0
1812,-10,2,0,-1,-4,-3,-13,-39,0
1865,6,0,-1,-3,-8,-6,2,14,0
1917,-35,-5,-2,0,-8,-8,-12,-22,0
1968,1,0,1,-2,-5,-2,6,11,0
2023,-18,-4,0,0,-3,-7,-35,9,0
2078,6,-1,-1,0,4,2,10,5,0
2129,-25,-5,-1,1,6,12,47,-68,0
2180,9,7,3,-1,7,17,82,80,0
2231,-55,-22,3,6,8,12,51,59,0
2282,127,-1,-7,-5,-21,-8,4,-9,0
2334,37,17,4,-4,-2,13,64,-72,3
2389,127,-8,-5,-12,-38,-20,-9,39,3
2440,-105,19,1,1,24,30,79,53,3
2494,-128,-18,-5,0,1,-3,-23,23,3
2547,7,-4,-2,-9,-38,-27,-13,-24,3
2601,-108,-1,0,-1,13,7,-29,-7,3
2656,89,-4,8,21,5,7,88,77,3
2707,2,-2,-2,-3,-3,-9,-7,3,3
2760,93,-6,0,13,-29,-17,-70,-34,3
2814,-5,-1,7,5,-7,15,14,-11,3
2868,-20,-12,-11,-28,-15,-15,-54,-24,3
2924,27,20,4,2,-14,-6,-13,-28,3
2976,-4,0,0,9,-12,4,8,-23,3
3032,13,5,0,6,11,-2,23,20,3
3084,-1,0,-3,-5,-12,0,7,-3,3
3138,-43,-1,1,1,11,-1,-21,30,3
3192,52,7,0,-5,-10,-4,-7,-19,3
3244,33,-3,-5,-7,-9,-10,8,-6,3
3295,11,-10,-4,-8,-3,-1,-5,-3,3
3349,15,3,-1,1,-9,-8,-5,-3,3
3405,10,-6,-6,8,15,1,0,0,3
3459,4,1,1,-2,-13,0,-1,-2,3
3510,2,0,1,0,-5,-1,0,-1,3
3562,0,-1,-1,-1,1,0,0,1,0
3614,1,2,1,2,5,4,-1,0,0
3664,-1,-2,-1,3,-9,-2,1,2,0
3718,-1,-1,-4,-3,-10,-4,-3,-1,0
3773,4,-1,-1,0,2,2,-7,2,0
3827,1,-1,-2,-3,-5,-4,2,-2,0
3881,10,0,-1,0,5,0,-5,-14,0
3935,-10,-2,-2,-3,-5,0,-11,-10,0
3987,0,-1,0,7,10,-8,-15,-12,0
4038,-5,-2,-2,-2,-6,-12,9,-1,0
4092,2,-1,-1,0,10,1,-31,-16,0
4145,14,-2,-3,-1,1,2,-11,-15,0
4196,-15,-1,-2,-2,3,-4,-13,-7,0
4247,23,3,-2,-4,-7,-10,-27,-3,0
4301,-23,-10,-2,-2,-1,-1,7,-15,0
4353,-34,-9,-3,4,-20,0,-81,-16,0
4408,69,7,-10,-21,-40,-44,-58,-9,0
4460,113,0,-3,-2,-11,18,54,14,3
4512,58,-8,1,17,-27,21,-35,-16,3
4564,-56,-11,-4,7,15,-10,-92,7,3
4616,-24,-2,-1,5,14,8,20,17,3
4667,78,1,-1,-1,5,7,21,30,3
4721,42,10,4,4,-5,9,16,27,3
4773,62,-3,-4,-4,-2,-23,-15,14,3
4824,55,1,-4,-14,-21,-10,-3,3,3
4876,-16,0,-2,2,-7,6,-2,20,3
4930,91,4,-4,-9,-4,-11,0,7,3
4984,-121,-9,4,6,20,-3,-16,-6,3
5035,0,-6,1,-3,-12,8,5,-1,3
5090,0,-2,-4,-1,7,-10,-14,17,3
5140,-118,-5,-2,14,34,11,32,-7,3
5192,13,2,-1,-3,-4,-12,-3,-24,3
5243,2,-1,0,1,-1,-2,3,-4,3
5294,0,2,6,5,14,4,0,-1,3
5349,0,0,-2,-1,-10,-4,-1,-1,0
5401,5,-1,-1,-2,1,3,1,1,0
5452,2,0,-3,1,-18,1,0,1,0
5504,1,-1,0,-2,-3,-2,1,-1,0
5555,-1,0,-3,-5,3,0,-2,1,0
5607,-2,-2,-2,-7,-4,-2,-2,-1,0
5658,0,-1,-1,-5,-1,-1,-4,-2,0
5713,-1,1,-2,-7,-4,-5,-1,1,0
