millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0
154,-2,-12,-9,-48,-109,-18,0,-2,0
205,0,-2,-1,6,24,24,4,9,0
257,1,9,7,27,-7,16,5,6,0
310,0,7,-2,-1,71,-12,-9,-5,0
364,0,-1,-5,-24,-15,-58,-7,-2,0
415,3,7,22,64,53,60,17,-3,0
466,-4,-9,-17,8,0,-56,-3,-4,4
518,-4,-9,-11,-44,9,53,5,-2,4
570,-1,4,16,41,23,2,0,-3,4
621,-2,10,19,58,53,48,11,-12,4
673,1,4,-1,-24,-103,-9,-12,-4,4
727,-2,-3,2,-9,-74,-20,-6,-1,4
780,1,10,11,-26,-100,7,2,-6,4
833,-1,-1,-3,30,34,5,1,4,4
885,-3,-2,-6,-16,-118,-3,-13,3,4
943,-3,2,1,-21,-48,-15,-9,-2,4
1025,0,-3,-3,-6,11,-26,10,5,4
1092,-2,-2,-7,-29,-76,5,7,7,4
1147,-3,-5,-10,-46,-24,-52,-4,0,4
1199,2,7,-2,-45,-35,-38,-2,-4,4
1249,1,-6,-5,-10,18,-5,-3,-2,4
1301,-1,0,-3,-10,3,-10,-2,2,4
1355,1,-4,-3,3,-9,4,2,-2,4
1410,-3,-3,-2,0,-2,-19,0,-1,4
1466,2,0,0,-1,0,-11,0,-1,0
1517,-3,-3,-2,0,-1,2,0,-1,0
1582,-2,-1,0,-1,1,1,-3,-2,0
1634,2,-3,-2,0,-2,-5,-1,0,0
1688,-1,5,1,2,1,-4,-3,-1,0
1740,-1,-4,-2,-2,-5,-4,0,-1,0
1794,-2,-1,-1,-2,0,-3,-3,-3,0
1846,-2,-2,-4,-1,-1,-1,-2,0,0
1898,-1,-2,-1,-1,0,-3,-4,-2,0
1955,-1,-2,-3,-3,-1,3,1,0,0
2006,1,-3,-3,-2,-6,-9,2,0,0
2058,-2,1,-1,0,-2,0,-3,0,0
2116,-1,-1,3,3,10,13,0,0,0
2168,-3,-4,-18,-6,-99,-49,-10,-4,0
2226,0,0,-4,0,-1,6,2,-1,0
2278,-3,-1,1,-17,-33,-26,0,1,0
2329,2,3,-3,-25,-73,1,7,3,0
2381,0,-12,-12,-44,-63,0,5,3,4
2437,0,3,-5,8,33,8,-1,-2,4
2493,-2,2,7,-24,-14,-24,-4,-4,4
2547,-4,-7,-10,16,-78,-30,-9,-4,4
2603,-2,0,-16,-41,18,-62,-13,-2,4
2654,0,-1,4,6,-8,23,-2,-1,4
2712,-2,-1,0,-15,-25,4,0,-3,4
2764,-2,2,-10,-39,-42,-11,-5,-3,4
2816,-1,-6,0,25,-28,-14,-2,0,4
2869,-3,-4,7,13,-60,-3,1,-4,4
2927,0,-3,-14,2,-33,4,0,-2,4
2984,-3,-8,-9,-46,-88,-13,-3,1,4
3042,-1,0,-6,9,67,-1,5,0,4
3093,-3,-7,3,33,18,23,0,-11,4
3145,-3,-3,-8,14,-31,15,3,6,4
3197,-1,1,-3,-20,-60,-43,-10,2,4
3249,1,1,-4,32,127,33,8,6,4
3304,0,-2,-1,6,28,3,1,-3,4
3360,-1,0,2,-2,-15,-8,-3,0,4
3411,-17,-4,0,2,3,37,13,48,4
3464,2,0,1,-1,-2,2,-3,-11,4
3515,1,-2,0,-4,-2,4,-1,-2,0
3569,-1,1,2,0,1,-2,-2,-4,0
3623,0,2,-2,-1,1,-1,-1,-4,0
3677,-1,-1,0,-1,0,0,0,-2,0
3729,-1,-2,-3,-3,-3,1,-1,-1,0
3780,-1,-1,0,0,-1,1,-1,-1,0
3835,-4,-1,-1,-3,-1,-1,-1,-2,0
3889,-2,-2,-3,-1,-1,1,0,-1,0
3945,-2,1,1,2,1,3,1,0,0
3996,-1,-3,-3,-2,-1,-1,-2,1,0
4050,0,3,3,1,0,-1,-3,0,0
4102,-1,-2,-4,0,-2,-2,1,-1,0
4154,-2,-5,-6,-6,49,19,0,1,0
4205,-1,-3,5,0,0,12,0,0,0
4260,-1,-5,1,45,18,22,0,-1,0
4315,-4,-4,-16,-103,-128,-76,-4,1,0
4367,1,-2,12,71,32,8,6,2,4
4418,2,7,9,7,-14,-16,-8,-4,4
4473,-1,0,-26,-95,-57,-55,-7,-3,4
4526,-1,-6,10,20,54,-45,5,5,4
4577,4,-1,-10,-27,51,11,6,1,4
4632,0,1,-3,-32,-61,-32,-8,-2,4
4688,-2,-7,-13,-13,-7,2,6,12,4
4741,-2,-3,-1,51,81,-2,5,1,4
4792,-5,-9,-9,19,10,-11,-4,-5,4
4845,-1,-1,5,24,5,-8,-7,-1,4
4897,3,4,-5,-55,8,3,2,2,4
4953,-3,-2,-5,-18,-41,-34,-2,-2,4
5009,0,0,3,-1,19,-7,1,-3,4
5066,-2,-5,-2,2,-5,12,-1,-1,4
5118,0,2,-10,-7,47,15,3,0,4
5169,2,6,-7,-76,-81,22,1,2,4
5221,-3,-5,-9,-12,-4,4,2,-1,4
