0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0
154,0.2,1.2,0.9,4.8,10.9,1.8,0,0.2,0
205,0.2,1.4,1,5.4,13.3,4.2,0.4,1.1,0
257,0.3,2.3,1.7,8.1,14,5.8,0.9,1.7,0
310,0.3,3,1.9,8.2,21.1,7,1.8,2.2,0
364,0.3,3.1,2.4,10.6,22.6,12.8,2.5,2.4,0
415,0.6,3.8,4.6,17,27.9,18.8,4.2,2.7,0
466,1,4.7,6.3,17.8,27.9,24.4,4.5,3.1,4
518,1.4,5.6,7.4,22.2,28.8,29.7,5,3.3,4
570,1.5,6,9,26.3,31.1,29.9,5,3.6,4
621,1.7,7,10.9,32.1,36.4,34.7,6.1,4.8,4
673,1.6,6.2,10.1,29.7,35.8,33.8,7.3,5,4
727,1.8,6.3,10.2,30,40.8,33.4,7.5,4.2,4
780,1.8,6.4,10.6,29.9,50.1,32.5,7.2,4.2,4
833,1.9,5.8,10.7,32.8,46.4,31.8,6.4,4.1,4
885,2.2,5.9,10.8,32,56.7,26.3,7,4.2,4
943,2.2,5.4,8.7,27.7,56.2,21.8,6.2,4.1,4
1025,1.8,4.8,7.3,27.5,57.3,18.8,6.9,4.2,4
1092,1.6,4.1,6.9,26,64,14,7.1,4.7,4
1147,1.8,4.2,6.3,26.5,64.1,19,7.5,4.4,4
1199,1.8,3.9,4.6,25.2,62.3,18,6.6,3.6,4
1249,1.8,4.1,5,23.8,53.8,17.6,5.7,3.4,4
1301,1.7,3.8,5.1,23.9,46.7,16.6,5.3,3.5,4
1355,1.7,3.2,4.3,21.6,37.6,16.3,5.3,3.1,4
1410,1.9,3.4,4.2,18.6,34.4,17.7,5.2,2.8,4
1466,1.8,3.2,3.6,17.1,22.6,18.5,3.9,2.6,0
1517,1.8,3.3,3.7,15,17.9,17.2,3,2.5,0
1582,2,3.1,3.4,14.5,16.9,14.7,2.3,2.2,0
1634,2,3.2,2.9,11.6,9.5,14.7,1.7,1.5,0
1688,1.8,3.2,2,7.2,7.2,9.9,1.6,1.6,0
1740,1.7,2.9,2,2.9,4.2,6.5,1.4,1.3,0
1794,1.8,2.4,1.6,2.1,2.4,6.3,1.4,1.4,0
1846,1.9,2.6,1.7,1.2,2.2,5.4,1.4,1.2,0
1898,1.9,2.4,1.5,1,1.3,5.3,1.6,1.2,0
1955,1.7,2.3,1.6,1.3,1.2,3.7,1.7,1.1,0
2006,1.6,2.6,1.9,1.4,1.8,3.5,1.9,1,0
2058,1.5,2.4,1.8,1.4,1.9,3.3,2.2,0.9,0
2116,1.4,2.4,2.1,1.6,2.8,4.5,1.9,0.7,0
2168,1.5,2.5,3.7,2.2,12.5,8.9,2.8,1.1,0
2226,1.4,2,4,2,12.5,9.1,2.7,1.1,0
2278,1.6,1.7,3.9,3.5,15.3,11.3,2.7,1.1,0
2329,1.6,1.9,4.1,5.8,22.6,11.1,3.1,1.1,0
2381,1.4,2.9,4.9,10.1,28.8,11,3.4,1.4,4
2437,1.3,3,5.3,10.8,32.1,11.5,3.1,1.4,4
2493,1.4,3,5.7,12.9,33.4,13.6,3.4,1.8,4
2547,1.7,3.4,6.4,14.3,40.6,15.7,4.1,2.2,4
2603,1.7,3.3,7.9,18.4,42.2,21.9,5.1,2.4,4
2654,1.6,3.3,8,18.7,42,22.9,5.3,2.5,4
2712,1.5,3,6.2,19.6,34.6,18.4,4.3,2.4,4
2764,1.7,3.2,6.8,23.5,38.7,18.9,4.6,2.6,4
2816,1.5,3.7,6.7,24.3,38.2,17.7,4.8,2.5,4
2869,1.6,3.8,7.1,23.1,36.9,17.9,4.2,2.6,4
2927,1.6,2.9,7.3,18.9,33.9,18.3,3.7,2.5,4
2984,1.9,3.4,7.7,22.7,39.4,18.8,3.9,2.4,4
3042,1.8,3.2,7.6,21.2,44.7,16.5,4,2,4
3093,1.7,3.2,6.9,22.9,38.7,15.8,3.1,2.7,4
3145,1.8,3.5,6.1,20.2,40,11.1,2.1,3.1,4
3197,1.9,3.5,6,21.6,45.2,13.1,2.9,3.2,4
3249,1.8,3.5,6.4,23.3,55.4,16,3.7,3.5,4
3304,1.6,3.5,5.5,20,54,15.2,3.3,3.5,4
3360,1.6,2.9,5.7,17.7,52.7,14.6,3.4,3.5,4
3411,3,2.9,5,16.6,47,18,4.6,7.9,4
3464,3.2,2.6,3.7,16.5,43.9,17.8,4.9,8.8,4
3515,3,2,2.8,12.3,35.3,16.9,4.7,8.9,0
3569,3,2.1,2.4,11.4,28.7,17,4.4,9.3,0
3623,2.7,1.6,2.3,8.2,27,14.8,4.5,8.6,0
3677,2.5,1.4,1.5,6.9,23.9,13.3,4.2,8.2,0
3729,2.5,1.5,1.5,5.2,18.2,9.1,3.3,8.1,0
3780,2.5,1.5,1.1,2,5.6,5.9,2.6,7.6,0
3835,2.9,1.4,1.1,1.7,2.9,5.7,2.6,7.5,0
3889,3,1.6,1.2,1.6,1.5,5,2.3,7.6,0
