millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0
168,-1,-3,-3,0,-2,-3,-3,1,0
226,0,0,0,-2,-1,-10,-3,0,0
290,-2,-3,-1,1,-3,-4,-3,1,0
355,0,0,-4,-10,-21,-1,6,-2,0
420,0,-1,2,-7,-17,4,-5,1,0
483,2,2,20,41,-11,-20,-19,-4,0
539,-2,-3,-3,3,-5,-2,1,2,0
598,0,0,2,-3,-2,4,-31,-8,0
662,-3,-3,-5,-9,-19,-41,-23,-11,0
737,6,4,8,-6,-7,31,2,30,0
809,21,-1,-1,-4,-12,-49,21,40,1
885,-12,-2,16,67,53,-78,-19,-29,1
968,6,17,16,19,63,75,-60,4,1
1025,-1,-3,-2,3,-14,63,57,-14,1
1082,-7,-1,0,-8,-5,68,47,-27,1
1142,-16,0,3,11,-7,-24,-51,-111,1
1218,5,1,13,20,-6,-33,17,12,1
1302,12,16,61,66,2,31,-14,43,1
1380,-11,13,30,55,2,-39,-23,-117,1
1455,-11,-6,-23,-29,-3,23,-1,-15,1
1534,-13,-1,8,2,-47,-2,-42,-21,1
1617,5,-8,-6,2,3,10,71,-17,1
1679,-84,-25,2,7,28,22,-9,-64,1
1744,-11,-2,1,-20,-22,-13,3,-8,1
1812,-1,-1,-3,-8,-5,-6,2,3,1
1879,2,0,-1,-2,6,4,-2,1,1
1945,-3,-2,-3,-7,-12,-13,2,-4,0
2063,-2,-2,2,1,6,4,-4,0,0
2121,-1,-2,2,0,5,2,1,2,0
2179,-2,-2,1,2,7,6,-1,0,0
2238,0,-1,0,1,2,-15,-1,-3,0
2303,-2,2,-1,-4,-5,-5,-5,-1,0
2383,0,1,-1,-3,3,7,3,-4,0
2465,-1,-1,-3,-3,-9,2,2,0,0
2530,-2,-1,0,-1,0,-7,-2,-2,0
2594,-1,-1,0,-1,-4,-4,-11,-11,0
2659,1,2,6,5,1,-11,-7,-1,0
2722,-1,-2,-11,-13,-17,18,-17,-4,0
2786,1,-2,-13,-9,-36,-28,11,-17,0
2849,1,5,7,-6,-7,8,14,8,0
2913,8,4,13,3,-14,27,71,41,1
2976,6,1,-4,4,-11,-31,55,42,1
3038,-6,-4,-4,3,4,-29,-40,-9,1
3136,7,-1,-6,8,7,-56,6,14,1
3195,-1,3,5,4,9,-21,-12,15,1
3254,-5,2,17,23,2,23,-56,-3,1
3313,5,-8,-36,-49,44,23,24,3,1
3390,-2,1,-1,-6,12,106,25,-19,1
3469,-1,0,-2,-5,-16,-3,21,9,1
3533,15,2,4,4,21,30,-1,50,1
3597,6,2,5,3,22,6,-2,24,1
3659,-8,3,-5,-9,-11,19,7,-20,1
3724,2,-5,-7,-12,-27,-34,-17,16,1
3789,-6,-15,-26,-28,-51,-24,-61,-32,1
3852,-22,-14,-10,-9,-11,-62,-41,4,1
3914,11,3,4,2,-12,0,25,32,1
3978,41,0,-2,-14,-36,3,1,-4,1
4040,-4,2,6,-4,-20,-7,18,28,1
4112,2,-1,-5,-6,-2,11,28,10,1
4170,9,-1,-3,-1,3,4,16,-3,1
4233,6,2,-7,0,51,6,4,5,1
4298,-1,0,3,3,8,-1,-1,-3,0
4361,-1,-1,-1,1,-3,5,2,0,0
4423,-2,-1,-4,-5,-6,1,2,1,0
4486,-2,-1,0,-1,1,7,-1,-1,0
4549,-2,-1,-1,-1,6,8,1,-4,0
4615,-4,-3,-2,-2,3,1,5,-5,0
4680,1,-1,2,3,3,-3,2,1,0
4742,0,-4,-4,-13,-8,-14,5,0,0
4812,-3,-1,3,4,2,-1,-12,-8,0
4875,-7,-7,-26,-41,0,-28,-29,-10,0
4939,-1,-7,3,20,-2,-8,5,24,0
5005,-5,-2,-2,-8,-22,18,-10,-33,0
5071,-26,-7,-7,-26,20,45,42,-17,0
5134,2,0,5,3,-27,-42,-5,9,1
5206,4,-8,-1,-15,8,-45,-60,9,1
5263,-4,-3,28,14,-8,-56,-61,24,1
5318,-4,13,24,31,48,98,-40,-39,1
5375,29,12,14,-2,4,60,24,5,1
5432,4,0,-2,-5,-6,9,47,27,1
5490,-5,-4,-2,-2,-14,-18,-2,-5,1
5547,-2,3,-2,-45,9,-18,-11,5,1
5618,-3,7,35,28,-7,-5,22,24,1
5689,-2,3,3,-22,-25,-17,-5,4,1
5760,3,6,8,5,-14,-21,-1,0,1
5836,6,-1,1,7,14,-7,10,11,1
5908,2,1,-2,-18,-5,110,53,15,1
5973,-1,0,7,0,9,-17,8,23,1
6030,-4,-4,-16,-21,-7,-15,-8,4,1
6087,-2,0,-1,1,13,-9,-13,-11,1
6141,3,-1,2,3,11,16,17,5,1
6196,-5,-2,-11,-6,-14,-11,0,-10,1
6261,-19,-2,0,18,-13,-13,-1,-61,1
6334,-2,-2,1,2,-13,11,3,-6,1
6415,-1,-1,-7,-1,-41,-8,7,2,1
6473,-2,-3,-4,-23,-30,1,-2,-2,1
6550,0,0,-1,-3,-7,1,1,-2,0
6620,-1,0,0,-6,5,-3,0,0,0
6675,-2,-2,-2,3,9,1,-9,0,0
6735,0,-1,0,0,-7,-19,6,0,0
6803,-3,-3,2,10,27,1,1,-8,0
6871,-2,-1,-3,1,13,7,0,-1,0
6946,-1,-2,-4,-9,-15,1,3,-3,0
7018,-1,1,2,4,-2,0,-9,-3,0
7090,-1,1,1,-2,-4,6,5,-2,0
7163,-1,-1,-2,3,-13,-13,18,1,0
7244,3,-1,-1,2,-7,-7,-3,4,0
7303,1,-3,-2,3,-3,-10,-8,7,0
7357,0,-2,-1,-3,-9,-63,-72,-27,0
7414,1,-2,-1,4,-6,65,91,23,0
7468,-10,0,8,-16,-25,-70,64,-32,1
7526,3,-5,-26,-49,-2,-16,-48,12,1
7583,-10,0,4,11,24,-50,-32,-10,1
7645,-11,-4,6,16,-19,-35,-33,-26,1
