millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0
172,-1,2,4,-4,2,18,-6,-6,0
230,-2,0,-3,2,9,-7,-3,-2,0
286,-2,-6,-24,-27,-8,3,9,0,0
341,6,-3,-13,-9,-8,-42,-43,4,0
398,-8,0,3,0,-17,-95,45,7,0
458,-3,2,-15,-16,-29,34,-41,-7,0
518,-9,-22,-83,-99,-57,-63,-19,9,0
575,5,0,-7,3,16,-55,-88,29,1
636,-48,-25,-19,-30,-43,-71,29,51,1
694,-8,17,75,65,86,-2,121,42,1
755,33,9,16,-10,-13,-102,-128,68,1
817,51,15,19,24,35,4,38,-63,1
872,0,17,16,32,54,-87,-47,94,1
928,14,29,38,29,40,54,-77,-48,1
987,-10,-12,44,72,-3,-112,-66,-102,1
1062,-59,6,89,81,21,-62,-26,92,1
1115,13,7,-1,14,-68,-73,-104,90,1
1167,-65,-95,-128,-128,-78,-84,-55,-68,1
1225,-8,4,-12,-36,-31,-9,19,-19,1
1281,-72,-40,-86,-94,-76,-18,45,-110,1
1357,-4,-13,-18,-54,-22,-9,37,3,1
1435,15,9,11,19,-2,-2,-11,10,1
1496,42,2,-4,-1,-23,-5,11,-9,1
1563,-36,-19,-10,7,-9,-70,-69,-103,1
1632,4,6,22,60,-15,9,-3,2,1
1699,2,5,8,19,-7,21,4,13,1
1764,-6,-2,0,-19,-19,4,-17,-9,1
1831,-9,-2,-2,-17,-7,-5,3,-1,1
1898,1,1,4,22,1,-10,-3,-3,1
1967,-3,-2,-6,-11,-23,-8,3,0,0
2034,2,2,1,-1,0,-8,-3,0,0
2101,0,-1,2,6,8,-3,-5,-2,0
2171,0,0,-2,-14,-17,-8,-9,-5,0
2225,-2,0,-1,-4,-2,0,-7,0,0
2282,-4,-3,-3,7,8,-6,2,-1,0
2345,-5,-3,-1,8,12,4,-5,-4,0
2414,-1,-2,0,1,-3,-2,-11,1,0
2485,0,0,2,-1,-6,1,-9,10,0
2558,4,3,3,-12,-21,11,26,30,0
2617,-4,1,37,14,14,-70,-7,13,0
2679,8,1,-2,-17,16,-35,-88,-50,0
2738,30,5,-3,28,52,76,38,88,0
2800,-6,19,14,-21,-115,-30,-43,-25,1
2864,-47,-35,-23,-27,1,-99,-76,-6,1
2929,19,12,2,41,11,127,106,-64,1
2995,-70,-71,-79,-73,-40,35,-29,-71,1
3063,37,3,-16,-25,-48,-27,-77,46,1
3125,-34,-10,-4,-16,21,-106,-128,-77,1
3184,23,20,84,67,25,13,26,38,1
3240,16,0,1,21,6,60,37,-4,1
3297,-12,-9,-26,-26,-56,-104,-61,-65,1
3358,-7,-2,34,34,-18,10,-38,5,1
3420,-12,2,-1,18,-46,-65,-75,4,1
3483,1,-2,-24,-43,-12,35,57,12,1
3545,-7,3,-16,-39,47,70,103,-24,1
3607,19,7,-14,-30,-9,46,74,51,1
3670,-47,-4,-3,2,6,18,29,-128,1
3731,22,18,47,40,30,-17,-69,-46,1
3795,2,15,-4,-3,5,-55,-42,41,1
3857,33,-6,11,16,-16,4,-1,13,1
3919,70,6,3,1,6,-37,-55,-4,1
3981,-10,1,3,-17,-31,-4,-25,-4,1
4038,-16,-10,-8,-16,-8,-9,-4,-1,1
4097,-1,4,10,15,19,-16,-2,4,1
4162,11,3,1,4,17,-4,-26,-4,0
4229,-3,-1,1,5,-18,-14,-15,0,0
4300,1,1,-3,-4,-5,1,-3,-4,0
4359,1,-1,-3,1,24,0,-1,0,0
4419,-1,-3,-2,-7,-25,-5,-7,1,0
4489,-2,0,-1,-6,-10,3,26,1,0
4554,1,-2,0,0,0,4,-8,-2,0
4619,-11,0,0,2,0,0,2,0,0
4683,1,-1,1,4,-10,-18,0,-3,0
4749,-2,-3,-8,-5,0,-15,-1,-3,0
4813,0,-1,-1,2,3,4,-3,-1,0
4877,1,3,8,2,13,-30,6,-1,0
4941,-11,-6,-7,-6,17,10,-14,0,0
5003,-4,-6,-23,-33,-35,-33,-45,-27,0
5065,2,1,12,1,-16,43,69,14,0
5128,32,-7,-6,-19,-72,-85,66,-27,0
5190,7,-17,-20,-46,-41,-50,-64,13,1
5250,24,24,57,86,-10,-12,59,127,1
5305,33,-15,-128,-128,-106,44,114,30,1
5364,-21,15,-1,-95,-20,122,53,-120,1
5421,3,8,4,41,10,-94,-121,-76,1
5480,-56,2,43,55,31,34,-86,-13,1
5543,-11,0,-13,-89,-54,127,127,27,1
5605,23,-6,-13,8,-15,-70,4,-51,1
5668,16,28,39,36,4,15,68,-37,1
5732,-26,-23,-75,-84,65,-35,44,3,1
5796,17,5,17,3,-43,5,2,10,1
5859,-10,20,46,58,17,127,44,-16,1
5920,-26,-10,5,53,4,-12,0,-31,1
5984,-7,-19,-55,-72,-48,-128,-46,-39,1
6046,6,0,-10,-15,32,-17,81,-33,1
6110,-57,1,-21,-27,3,9,-18,-4,1
6174,44,-8,-9,-9,5,-3,5,85,1
6235,21,-8,-5,-12,-68,-86,30,12,1
6298,33,1,1,28,90,21,9,-82,1
6383,7,-1,1,-23,9,-8,-51,-36,1
6441,-29,-8,-5,-17,-18,3,7,-3,1
6502,-2,1,5,15,26,4,1,5,1
6579,-7,0,1,-2,-13,0,2,1,0
6661,2,0,1,2,7,-6,0,-2,0
6718,3,2,1,-4,-29,1,-2,-2,0
6774,5,2,1,0,-6,-11,13,20,0
6828,0,-1,0,2,-2,7,-10,3,0
6886,0,0,2,6,17,5,2,7,0
6952,-1,-2,-2,-8,-4,-2,-18,3,0
7022,4,3,14,11,-8,4,20,8,0
7096,10,3,2,-13,25,-14,39,13,0
7165,-5,-3,11,2,-17,-62,1,16,0
7237,-1,-4,-14,22,-34,7,4,-1,1
7298,25,0,-2,-33,-31,-12,69,22,1
7363,-26,-10,-30,-9,-23,-75,-14,-50,1
7419,-10,24,65,66,63,78,82,-47,1
7475,4,18,40,40,7,49,44,26,1
7535,-8,7,71,115,76,5,39,-20,1
7599,7,6,-3,-15,-6,90,-56,34,1
7666,2,-8,8,14,-44,-26,-44,17,1
7740,3,-7,-53,-62,-65,-12,-27,31,1
7813,10,8,14,3,13,-4,61,0,1
7885,0,6,-11,1,1,111,47,-31,1
7961,14,-3,-3,15,-4,55,78,111,1
8031,-19,-20,-35,-9,-57,-27,-21,-53,1
8096,13,4,-2,-19,29,100,48,-4,1
8156,12,5,-5,-8,42,-17,-45,-56,1
8215,-17,-57,-90,-92,-72,-81,50,-24,1
8280,16,10,8,-5,-18,30,-45,61,1
8348,-77,13,-1,-2,38,-10,-11,11,1
8415,88,52,15,-12,-71,-3,-29,-34,1
8479,-10,4,13,-9,-17,10,-9,19,1
8551,-4,-6,-13,-24,35,-8,-5,-10,1
8626,-4,-2,-2,-5,-12,-4,-25,-12,1
8681,-3,-1,-4,-15,-19,-8,-3,4,1
8735,8,-2,-5,-4,-7,-5,1,-3,0
8793,-7,-5,-6,-9,-2,-2,4,-3,0
8858,-3,-2,0,0,-7,-2,-5,-6,0
8929,-2,-4,-6,-11,-10,-18,12,1,0
8994,1,-2,-2,-1,3,1,-5,8,0
9055,2,-1,0,-2,-2,4,10,2,0
9121,-8,-3,-4,1,-5,6,34,1,0
9185,2,2,-1,-1,1,7,17,5,0
9250,-5,-4,-8,-10,1,-4,59,-1,0
9313,-11,-5,-9,-29,-16,-29,-65,-55,0
9376,24,28,76,57,21,52,-35,-63,1
9434,-40,-28,-29,-52,-75,-128,-80,-91,1
9490,55,27,68,103,19,84,127,127,1
9549,-31,4,25,10,12,-73,-24,-100,1
9608,19,23,6,41,24,107,53,-8,1
9670,12,-13,-15,-16,-41,-22,51,126,1
9730,12,8,-22,-72,-14,87,29,-11,1
9793,-17,2,-1,-15,-9,-19,-19,-38,1
9854,9,-5,-8,19,29,-35,124,127,1
9913,-17,24,78,127,29,106,44,-57,1
9973,33,-2,-6,-1,0,88,21,100,1
10034,-9,-6,-19,-22,-46,-103,-103,-102,1
10097,3,17,27,64,13,33,55,30,1
10156,17,-3,-1,-24,26,-36,-9,24,1
10218,-5,-11,-27,-25,-42,-25,-18,9,1
10277,-20,-11,-32,-80,-25,-29,-89,-89,1
10340,32,-1,7,12,40,3,-12,9,1
10402,19,9,7,38,28,5,38,4,1
10468,-10,5,23,12,4,-14,-31,12,1
