millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0
142,-3,0,-1,3,4,9,7,0,0
207,0,-2,-4,-3,3,-2,29,0,0
280,3,2,5,7,-3,14,-2,2,0
343,3,0,1,7,-2,4,-8,-5,0
402,6,0,3,-8,-25,-11,-14,1,0
464,-3,0,-2,-1,-2,3,8,0,0
541,0,-3,0,5,0,-10,1,-2,0
628,0,0,0,2,-6,-16,-4,0,0
683,-1,-1,-4,-4,2,11,-4,0,0
738,-8,0,2,0,-4,31,20,-13,0
800,4,1,-2,-16,6,-16,-23,8,0
876,0,2,0,-1,17,15,34,3,0
951,-8,-3,-12,13,16,58,7,-3,1
1004,1,1,0,7,1,1,57,33,1
1061,-5,-7,2,7,1,-25,-39,11,1
1118,-3,-5,-25,-32,-5,-62,-57,-6,1
1197,5,4,9,11,-16,0,-21,15,1
1279,0,3,10,16,-2,-21,10,-12,1
1358,-6,-2,16,17,6,8,-3,-2,1
1442,5,-5,-24,-39,-7,5,1,13,1
1507,-7,-2,1,-2,-1,6,8,13,1
1572,-5,-2,-8,-11,-28,-27,13,-4,1
1636,-2,2,5,13,3,43,38,16,1
1701,-1,-2,-7,-2,-5,-14,-13,9,1
1769,8,5,15,9,-43,0,10,20,1
1841,-10,-2,1,0,-7,-17,3,3,1
1911,-12,-4,-7,-7,-2,0,21,-16,1
2013,-1,1,5,4,21,4,-4,-4,1
2069,1,1,-3,0,-1,-7,-4,0,0
2130,-4,-2,-2,-4,-56,-11,25,-17,0
2202,1,-5,-11,-14,1,5,-6,0,0
2295,0,1,2,5,2,-10,-8,4,0
2376,1,3,3,-12,-15,-9,-8,2,0
2449,-3,-1,-1,-3,-11,-9,1,-4,0
2508,1,-1,1,10,35,4,19,4,0
2569,-3,-2,4,2,-5,-16,-16,-12,0
2630,-2,-2,-2,-2,-8,3,14,-5,0
2693,-1,1,5,8,-3,-18,-20,-1,0
2754,1,1,0,-6,-18,21,32,4,1
2818,-8,-3,5,7,-12,-22,-61,1,1
2880,2,2,7,-1,-5,2,26,3,1
2943,-7,-2,-3,-3,-16,42,44,6,1
3007,12,0,-4,-10,-22,-56,3,2,1
3067,-12,-10,-12,-9,5,50,5,-11,1
3128,9,3,1,13,-5,-20,-31,-3,1
3190,-3,-3,-1,-6,-14,-55,-48,-13,1
3254,3,-2,4,1,-23,-6,5,4,1
3319,-6,-4,-10,-4,35,-23,-3,0,1
3384,2,-2,-3,-10,-1,18,26,19,1
3448,-18,-1,1,-2,19,33,-3,-1,1
3515,-8,-7,-4,-5,-2,47,13,14,1
3580,4,-1,-6,-6,-4,-15,-32,10,1
3644,6,-1,-8,0,-6,39,8,7,1
3708,19,0,9,3,-11,-6,-17,40,1
3775,22,-4,-17,1,-21,-63,-4,69,1
3839,2,7,-6,-32,-64,-18,-7,-37,1
3902,-8,-2,5,-4,-5,-3,8,-4,1
3965,3,-1,3,-9,-33,3,-2,-4,1
4035,-2,-4,-3,-10,-20,-7,4,3,1
