millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0
170,1,-1,-1,-11,-26,-3,-8,-1,0
227,0,-2,1,-10,-1,6,25,17,0
287,0,-3,-1,0,18,3,-10,5,0
350,5,-1,-2,-26,-19,-6,-19,26,0
411,-2,1,0,7,62,4,-31,-3,0
471,0,-1,0,1,-27,0,-6,-1,0
531,-4,-3,-5,-11,-15,-5,0,-3,0
588,-8,-1,-2,-18,-22,1,0,4,2
647,-13,1,5,10,-45,-13,-27,11,2
709,40,3,-3,-30,-8,2,-76,-37,2
768,37,1,2,28,-10,2,46,13,2
824,-32,-1,4,-24,22,4,15,15,2
887,0,1,-2,-7,-16,0,21,16,2
949,-10,-1,-1,0,5,0,-19,-22,2
1013,-2,-2,-2,-9,-32,-4,4,-12,2
1080,-10,-1,0,26,51,-3,1,19,2
1141,3,0,-2,7,6,-1,7,-44,2
1202,-1,-3,-2,4,33,-6,-32,33,2
1258,11,-1,-3,-39,5,1,-8,34,2
1321,-8,-1,-6,-28,-8,3,5,11,2
1386,-7,5,1,-35,22,1,25,-19,2
1451,-5,-2,2,0,13,4,22,-1,2
1516,0,0,-1,6,5,-1,-1,-2,2
1583,-3,0,-2,1,-2,-1,0,-1,0
1657,-2,0,-2,-1,-2,-2,0,-1,0
1720,0,-1,1,-1,-1,1,1,-1,0
1778,-1,-1,-1,-2,-4,-1,-2,-1,0
1837,0,1,1,1,-2,-2,-5,0,0
1912,0,-2,-1,15,7,-2,-1,-2,0
1992,-1,0,-2,6,5,-3,-22,-13,0
2062,-2,-2,-3,-2,3,-4,-17,19,0
2127,0,0,1,-3,-4,-1,-29,1,0
2191,-1,1,4,13,15,1,-3,4,0
2254,-2,1,-1,-2,-4,2,10,-9,0
2318,1,-1,-2,3,-8,-3,-8,41,0
2380,1,0,-5,-41,-32,-5,11,1,0
2444,-6,-2,3,-16,-20,8,25,-10,0
2509,-5,-5,-6,21,43,8,18,-59,0
2572,-2,-2,-1,-27,-50,-14,-44,-1,2
2636,-7,4,13,84,14,0,-14,-16,2
2696,-4,0,-2,-39,-54,-22,22,-1,2
2752,-17,-8,-6,7,26,-14,-18,65,2
2808,10,-1,-5,-2,-22,2,4,5,2
2869,-4,-1,-4,8,12,-2,-36,-11,2
2933,-11,0,1,10,-1,1,4,-9,2
3010,-1,0,-1,0,-4,9,6,-14,2
3081,-10,-2,-5,-6,23,-6,27,-7,2
3156,4,2,0,-35,-21,-17,-58,-11,2
3233,5,-1,0,-20,-4,-9,38,2,2
3296,-11,2,5,18,-34,-6,-32,1,2
3359,-29,-4,-4,-17,18,2,-13,-21,2
3425,8,0,2,6,-22,-9,35,8,2
3488,8,2,3,3,31,-1,4,-10,2
3547,-29,0,5,12,28,38,1,-11,2
3610,3,-1,0,3,19,7,24,3,2
3677,0,1,5,6,1,-5,0,4,2
3763,-2,-3,-16,-5,2,0,-1,1,0
3819,-3,-3,-8,-16,-31,-9,0,-11,0
3876,-2,-1,0,5,8,-15,14,6,0
3937,0,-1,-1,0,18,-10,-13,3,0
4008,-1,-1,1,4,5,-2,-2,1,0
4082,-1,-1,-1,-3,10,4,-8,-1,0
4140,-1,-2,-2,6,5,1,4,-2,0
4197,1,0,-3,6,-2,-2,-5,0,0
4257,0,2,4,-7,13,1,-6,-6,0
4324,0,-2,2,-5,-23,-2,1,2,0
4388,-3,-1,1,23,-13,-1,-1,1,0
4457,5,4,5,23,59,4,93,-7,0
4525,-1,-6,-10,24,11,11,2,70,0
4592,13,5,4,14,-24,-7,-14,12,0
4658,8,-5,-6,-39,-53,-22,-1,38,2
4738,10,-5,-14,-47,-62,-22,-59,8,2
4805,5,-1,-3,16,-17,8,8,-1,2
4859,-5,-3,-5,1,0,-3,10,1,2
4918,6,2,6,5,3,9,1,-2,2
4981,-3,1,-2,28,-24,-5,-6,-18,2
5055,-1,-1,1,18,28,4,25,1,2
5127,11,-1,-1,-6,0,0,-10,4,2
5201,-3,1,2,23,54,4,-9,-4,2
5272,2,-2,-1,-10,-73,-7,-11,12,2
5345,-1,1,4,33,33,6,-5,38,2
5407,2,3,3,-28,1,3,-6,-22,2
5466,9,0,-1,10,-6,2,4,1,2
5525,3,1,1,0,2,3,-6,0,2
5611,-1,2,3,32,20,-6,39,-31,2
5687,-1,-1,-1,-18,-11,-8,4,-2,2
5758,-2,-4,-16,-1,-11,0,0,1,2
5818,3,-1,-1,-5,-11,5,-32,-1,0
5874,-2,0,2,2,-5,-3,5,-3,0
5931,-1,-2,-4,-5,0,10,6,1,0
5990,-2,-1,0,5,6,0,3,-1,0
6049,-1,0,-1,-6,-9,0,-2,2,0
6112,0,0,-1,-1,1,-2,3,1,0
6175,-1,-2,-4,-18,-15,-4,-6,2,0
6235,0,0,2,10,24,2,-1,-2,0
6295,-1,-3,0,9,9,4,5,-4,0
6356,-3,-1,-3,-9,-7,-6,-10,-9,0
6418,0,-2,-1,-6,-18,1,10,5,0
6479,-1,-2,0,25,28,1,-7,-8,0
6540,-3,-3,-1,22,86,12,24,-37,0
6602,-15,4,4,36,74,7,-26,29,0
6663,6,0,-4,-25,-28,-5,-11,-4,0
6724,2,1,3,8,12,-31,19,4,2
6787,-19,-9,-8,-50,-25,-23,-102,20,2
6847,-8,-3,-4,-10,2,-5,-32,11,2
6904,4,-2,-2,-11,14,-1,2,2,2
6961,-6,-3,-2,-29,-68,-7,73,10,2
7020,13,1,0,-13,-1,-4,-19,10,2
7086,0,-2,-2,0,-21,-11,-35,-21,2
7154,-11,-3,-4,-6,11,0,-6,-16,2
7224,-1,2,8,27,6,11,-17,-3,2
