millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0
167,0,0,0,-1,-6,-1,-1,-1,0
230,-1,1,-1,-1,0,-1,-2,4,0
291,0,-2,-1,0,-11,-2,2,-3,0
352,0,-1,0,-7,-4,-4,-1,1,0
417,0,-2,-1,-9,-21,-4,-2,-1,0
485,0,-4,-3,-18,-31,-3,5,2,0
545,0,-2,0,3,34,1,-4,1,0
602,0,1,-1,-2,8,-1,-5,0,0
662,0,2,9,8,-8,0,-6,-2,0
724,-1,0,-3,-6,-6,-1,-6,-3,0
781,0,-1,-3,-11,-10,-1,0,-2,0
841,0,-2,0,17,7,0,-46,-2,0
903,-12,-5,-4,26,-19,-6,-23,-50,0
968,-12,-2,2,12,-10,-43,-20,7,0
1038,8,2,-1,-62,42,-10,-64,-41,0
1104,4,4,11,71,-84,-20,69,22,2
1181,3,5,-11,37,37,32,-23,-22,2
1248,-11,7,12,-30,32,6,-15,-28,2
1315,-30,0,1,43,2,9,-6,3,2
1377,-8,-9,-20,-8,-32,-8,30,-8,2
1434,-5,-4,-9,-12,64,20,28,-7,2
1490,-89,-18,-19,-55,-27,14,24,-52,2
1553,-31,0,-2,35,-31,-16,-3,-14,2
1630,-21,-1,3,28,24,3,-13,-21,2
1698,12,-2,0,4,42,-15,-116,-30,2
1783,7,3,4,91,54,19,11,33,2
1841,18,-4,-7,10,-45,-22,4,-42,2
1919,-51,-1,14,77,27,2,-25,65,2
1983,-17,-4,-11,53,39,-35,25,39,2
2045,-2,-3,-8,-19,-16,-15,-35,34,2
2115,-6,1,-1,-8,13,12,33,-6,2
2186,-5,2,1,-3,21,2,7,-5,2
2262,-3,0,3,2,3,1,3,-3,0
2326,-2,-1,2,7,-11,-4,-2,-2,0
2388,0,-1,-1,0,0,6,11,0,0
2449,2,-3,-8,-31,-54,-12,-18,-3,0
2511,-2,-1,-5,-15,-16,0,-3,0,0
2571,-2,-1,2,17,12,-2,-1,0,0
2632,0,-1,0,-1,8,-4,4,-1,0
2693,-1,-4,-3,-5,-10,-2,-6,0,0
2755,2,2,2,11,-2,-2,-5,3,0
2815,-1,-3,-8,-7,1,1,4,-2,0
2872,1,-1,0,14,19,-6,-11,0,0
2932,-3,-5,-20,-10,8,-3,0,-10,0
2990,-1,3,6,36,18,-6,-1,9,0
3052,35,-3,-3,-61,-45,4,87,50,0
3114,-27,-3,-1,-6,-72,-40,-15,-15,0
3177,23,-4,1,56,73,-5,-19,41,2
3244,-41,-8,-2,44,-38,-28,-87,19,2
3313,-25,0,11,10,124,29,32,8,2
3380,19,2,-3,-29,-1,-36,-23,4,2
3449,11,-4,-5,-33,0,0,-35,20,2
3515,30,1,-1,41,68,25,-46,-3,2
3587,-65,-5,13,-8,-6,-33,10,-35,2
3653,-24,-2,-6,20,96,18,-58,-5,2
3718,-61,1,7,-16,-4,0,-29,-50,2
3785,1,-3,1,-21,17,20,24,16,2
3852,-9,-9,-8,-6,23,19,-2,-2,2
3917,-15,-5,-10,-25,-62,-49,22,-21,2
3976,18,-3,4,-16,-9,10,34,-40,2
4032,-2,0,9,-35,-17,-17,14,19,2
4097,19,3,0,6,9,9,6,10,2
4171,-7,-3,-10,-21,-41,-11,9,7,2
4249,-5,1,3,-1,-53,1,0,1,2
4323,-4,-3,-6,-7,-18,-1,-3,-1,0
4382,2,1,-1,4,-8,3,8,12,0
4443,-2,-1,1,-2,-1,-1,-2,-1,0
4503,-2,-1,0,-1,2,-1,8,-2,0
4564,-1,-3,-5,-10,-8,6,-12,4,0
4626,-2,-1,-1,-9,-15,-6,-1,3,0
4688,-1,-1,0,1,-4,-6,-2,-1,0
4749,-3,0,2,-2,-21,4,3,-4,0
4812,1,0,-2,-1,-7,-3,-3,-2,0
4873,-2,-2,-1,-5,-10,0,-5,-6,0
4934,0,0,-1,-3,-5,-2,-15,14,0
4991,-2,-3,-6,0,10,4,7,-1,0
5053,6,-3,-4,-6,-8,-1,0,1,0
5114,-3,-3,-8,-4,-10,-4,-12,1,0
5176,-7,-1,-3,7,13,-5,-29,-8,0
5237,24,0,-4,13,26,9,58,58,0
5300,-37,-1,14,-13,75,17,82,-7,0
5362,10,-1,-3,112,-57,-11,23,40,2
5423,-34,0,1,10,-17,2,52,-112,2
5486,18,3,13,60,-50,-19,-46,-5,2
5551,2,-8,-15,24,26,-14,13,15,2
5616,-3,4,-2,-30,-19,-9,-30,-37,2
5680,-13,0,-1,47,115,22,-2,10,2
5742,9,-2,-10,-5,-77,-16,-25,19,2
5802,6,-2,2,-24,-24,-7,-36,40,2
5865,2,-4,1,22,-25,1,-44,19,2
5927,20,0,1,-46,-84,-10,10,15,2
5987,-8,5,9,14,3,18,3,8,2
6049,-15,-2,-4,-49,-73,-15,26,13,2
6114,13,2,0,-16,-22,26,-4,-2,2
6177,-13,-2,0,8,24,0,14,-4,2
6240,-14,4,-6,-38,48,12,0,-6,2
6303,3,-2,0,4,-3,15,-8,10,2
6365,3,1,5,-10,-4,-4,1,-11,2
6426,-3,-1,1,-7,-3,-1,-2,-7,0
6493,0,-1,-2,-3,-3,-1,0,-3,0
6555,-1,2,0,-1,-7,-3,-7,-3,0
6633,0,1,2,10,-3,-1,28,7,0
6694,1,0,1,-2,3,-3,-4,-1,0
6756,-2,0,2,5,5,0,4,-1,0
6816,0,0,1,-4,-2,2,1,0,0
6877,-1,-1,-1,-1,1,-1,-9,3,0
6938,-4,-2,-2,2,-15,-2,12,-4,0
7001,1,-1,0,-11,-5,3,-11,11,0
7059,1,-1,-1,-25,-11,-5,0,-4,0
7119,-2,-1,2,3,-2,1,0,-5,0
7180,-3,-2,2,8,18,4,14,-3,0
7245,-2,-1,0,-4,-7,2,10,-15,0
7310,0,-2,-3,-15,-7,-1,-35,-2,0
7374,0,-1,1,-6,75,2,37,-25,0
