millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0
167,-2,-3,-4,6,13,1,18,0,0
227,-2,1,2,8,-11,-5,-9,-4,0
289,-3,-1,-3,-11,16,-4,-7,-1,0
354,0,0,0,30,-8,1,-25,4,0
417,-1,-2,-3,-8,-2,-2,2,-2,0
481,-1,-1,-4,-16,-36,-4,-21,3,0
542,-2,4,7,38,9,11,14,-1,0
602,-3,-3,-8,-20,-57,2,33,-5,2
660,-7,-4,-2,-16,2,1,26,3,2
718,-12,-1,-1,-19,22,7,2,17,2
806,4,2,-2,-13,19,7,-15,18,2
884,6,0,0,-18,-43,-8,13,-1,2
976,1,-6,-14,-23,-24,-5,-20,-2,2
1034,-4,-1,0,1,3,-3,-61,-23,2
1092,-5,-1,4,1,-6,14,28,-1,2
1146,2,1,-1,-16,-12,-4,-12,-14,2
1201,-6,2,2,-11,-7,5,30,16,2
1262,-1,-1,-1,3,4,-1,-1,-2,2
1342,0,-1,-1,-4,-9,-7,-2,-5,2
1421,-2,-2,-3,-5,-1,1,-2,-1,0
1507,-2,-2,0,-1,-1,-2,1,1,0
1584,-3,-3,-2,-2,1,1,0,-1,0
1644,0,-1,-1,0,0,-1,1,-1,0
1704,-2,0,-3,-1,0,1,-1,-1,0
1769,-1,-2,0,-1,-3,-2,-1,-4,0
1841,0,-1,-2,-2,0,0,-1,-1,0
1910,-1,-2,-2,-2,13,-2,1,0,0
1981,-2,-1,-1,-1,-7,-1,0,-1,0
2055,-2,1,-3,-5,-6,0,13,-1,0
2130,-1,0,-2,-2,-4,-2,-6,-1,0
2204,0,-1,-1,0,-6,-3,-4,11,0
2260,0,-1,-1,-3,-6,-1,2,-2,0
2319,-3,-2,-2,-12,-6,-5,-14,-4,0
2432,-1,-3,-4,-9,-13,1,26,-9,0
2496,0,4,8,-2,-19,3,-3,-4,0
2554,1,-2,0,25,6,5,3,-4,0
2614,-5,0,-4,-9,22,3,6,-6,0
2675,-24,-3,1,43,9,8,26,-41,0
2748,-1,-4,-8,-26,-7,-7,-22,11,2
2820,0,0,-3,-18,10,2,-7,-36,2
2897,4,0,11,54,-3,-2,7,-6,2
2970,0,-4,-9,-34,-21,11,-31,-18,2
3030,-5,-2,2,21,17,-12,9,18,2
3092,-3,-2,-1,-3,-9,-25,-29,9,2
3156,2,-2,-2,5,-27,1,-3,-14,2
3220,-5,-7,-6,34,4,-5,6,6,2
3281,5,-1,-1,-13,-15,-1,-2,4,2
3341,3,-2,-5,-35,19,-4,-15,5,2
3404,-1,-3,-2,29,13,-7,-40,4,2
3472,-2,0,-1,0,-36,-4,-10,-5,2
3537,1,0,1,-3,-13,-7,-16,-1,2
3601,-1,0,-2,1,3,-6,33,8,2
3666,-2,0,1,-2,-4,-1,-6,2,2
3732,-3,0,-1,-1,2,2,0,5,0
3797,-1,1,1,4,-1,-1,-3,0,0
3862,-1,-2,-3,0,-2,2,0,0,0
3926,0,-2,-1,-2,-1,0,-1,-1,0
3992,-3,0,0,-2,-2,-2,-1,0,0
4058,0,0,-2,1,-2,1,-1,-1,0
4124,-1,-2,-2,-4,0,-2,-2,-1,0
4185,-2,-1,-1,-2,-3,0,-6,-1,0
4256,0,-2,-1,-3,-12,-7,-37,13,0
4315,-1,-1,-1,1,0,1,10,-5,0
4374,0,-2,-1,-1,5,0,2,0,0
4435,1,0,0,0,3,6,33,10,0
4499,1,0,0,-5,-10,-1,6,0,0
4563,-3,-3,-1,13,7,-4,0,-4,0
4627,-16,-1,1,9,1,-3,-63,5,0
4692,4,2,-2,-10,-60,-7,14,7,0
4761,-9,-5,-8,60,16,3,-17,-21,0
4826,1,-1,-1,14,33,8,30,0,2
4895,17,2,3,-11,-39,-8,33,-39,2
4962,4,3,12,81,44,18,80,-8,2
5029,-7,-4,-4,-27,-44,-10,-5,28,2
5100,-5,-5,-2,-6,-10,-5,-37,6,2
5167,2,-2,-7,14,-15,-9,-3,12,2
5235,-1,-1,2,7,-38,-16,-61,1,2
5306,-2,-1,3,-6,-31,-7,1,6,2
5372,5,-4,-9,-32,-13,3,26,73,2
5428,2,-3,-5,-35,-16,-6,-24,18,2
5490,3,-2,-1,-40,-38,0,-10,-2,2
5567,-2,1,-1,-32,-51,2,25,-3,2
5652,3,2,4,18,-1,1,7,-4,2
5730,1,-2,-1,0,10,0,6,-2,2
5793,2,1,-1,-5,-12,2,1,8,2
5858,0,-1,2,-3,-1,0,-4,2,0
5920,2,0,-2,0,-1,0,2,1,0
5983,-1,1,0,1,0,-2,0,0,0
6048,-1,0,-1,-1,1,1,1,1,0
6110,0,-2,0,2,-1,-1,1,0,0
6173,0,-1,1,0,-3,-2,-1,0,0
6237,-2,0,-2,-1,1,-3,-1,0,0
6301,-1,-1,0,2,3,0,23,3,0
6370,-1,-2,-1,-1,0,2,0,-2,0
6430,-1,-1,-3,-8,-4,-1,-6,-4,0
6489,-2,-2,-1,-1,6,0,-3,-4,0
6549,-2,-2,-3,-7,-24,-2,-3,-7,0
6624,0,-2,-2,-8,-21,-6,31,12,0
6699,0,-2,-3,-9,-14,-2,-13,-8,0
6775,0,0,0,-1,2,-12,-18,-7,0
6839,-1,-1,2,-15,-18,1,-23,18,0
6906,10,-3,-8,79,-23,-6,17,32,0
6971,-4,-4,-7,-9,-35,-10,26,-9,0
7036,8,0,-2,-14,20,-2,-7,-12,2
7101,-16,-4,-8,21,-16,3,12,-26,2
7164,10,0,2,-30,-36,-2,2,69,2
7227,-18,0,2,4,6,-15,-41,-17,2
7292,6,-1,-5,-22,-24,-2,-1,-12,2
7358,3,-3,-5,0,27,-5,2,16,2
