millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0
114,2,6,10,3,-2,-8,1,-3,0
175,-14,-1,4,1,1,6,25,-21,0
235,-9,-3,-5,-1,0,-1,1,14,0
295,3,0,-2,-1,-2,-1,-32,-16,0
357,-20,4,1,-1,1,-1,40,-82,0
413,10,0,3,0,-5,-2,9,116,0
469,12,-1,2,0,5,2,-15,-14,0
529,15,4,-1,-1,-8,-3,-23,4,0
591,-20,2,-1,4,0,6,72,-1,0
650,15,0,3,-2,0,-1,14,-27,3
710,-11,6,-9,-5,-4,-17,-95,-45,3
769,29,4,-2,0,-5,0,63,-24,3
827,68,1,3,9,-17,-8,-26,-53,3
887,-19,-18,-4,-2,26,0,10,40,3
949,22,1,1,8,20,3,71,50,3
1009,27,-7,-1,-3,3,-6,42,19,3
1072,31,4,-3,6,0,4,-14,49,3
1155,37,6,-3,-4,-7,1,63,-63,3
1235,24,3,7,17,56,1,16,-3,3
1288,-71,3,5,0,-1,20,55,3,3
1341,81,7,2,0,-3,-10,-100,-26,3
1398,48,-6,-6,-3,-1,-1,34,6,3
1465,29,-3,-4,-5,4,5,22,7,3
1550,-45,-6,-4,2,7,-12,-56,-60,3
1607,20,-1,2,1,1,-2,-22,-6,3
1666,6,-7,-5,-4,-7,-8,-2,18,3
1723,-20,-4,-2,-2,0,-2,-1,10,3
1782,30,12,2,2,2,2,34,-77,3
1845,-2,0,0,-13,-22,-4,-12,12,3
1906,-1,-3,-4,-1,-2,-1,-4,3,3
1963,-2,-3,-2,-2,-11,-1,-2,-2,3
2023,-2,0,3,22,77,-1,0,-1,0
2081,-4,-2,0,-2,-8,5,2,0,0
2146,-3,-1,-2,-10,-30,-4,-1,-1,0
2210,-3,-3,-5,-4,-7,-4,-4,-1,0
2278,-2,-2,-3,-5,7,3,-1,1,0
2333,0,1,3,17,39,1,3,2,0
2389,-2,-1,-3,-3,-10,-5,-2,-3,0
2450,-3,-1,-1,-1,-6,-5,-25,21,0
2531,-10,0,1,-3,-10,2,6,7,0
2610,0,-2,-1,-2,-11,-3,-15,-19,0
2670,18,0,2,3,19,19,90,61,0
2731,-26,-2,-2,3,3,-12,6,-71,0
2811,81,23,-2,-8,-12,-12,-35,54,0
2893,49,-5,-4,1,-29,-11,-23,8,3
2949,-128,-8,0,9,21,30,58,30,3
3007,-20,-1,-2,1,8,6,47,-24,3
3064,40,4,0,-4,-2,1,23,-26,3
3135,-59,-12,-2,-2,-9,-11,-21,-30,3
3203,-31,-12,-4,-2,-5,-13,-16,-33,3
3277,-12,7,3,0,-5,5,11,31,3
3386,-23,1,2,5,6,7,-15,11,3
3446,1,16,4,0,12,16,-9,6,3
3503,-2,-10,-2,-2,-18,-12,-12,-3,3
3561,1,8,-8,-6,-17,-4,-18,46,3
3622,-88,-1,0,-2,-20,-1,23,70,3
3684,-21,2,-6,-3,1,0,-10,-7,3
3746,33,6,-1,-3,-2,9,7,17,3
3803,-43,-2,-3,-5,10,9,-65,-19,3
3865,-16,4,0,-1,2,3,-11,-9,3
3927,-8,8,-1,0,-5,-2,-2,-8,3
3987,-6,-2,-2,0,0,1,-1,2,3
4046,-3,-2,-2,1,12,-2,-2,-3,0
4107,-1,0,-2,2,25,-5,-2,-2,0
4164,-1,-2,0,-6,-15,9,3,1,0
4224,-1,-3,-2,-4,-8,4,-1,-2,0
4284,-2,-1,-1,10,28,0,0,-1,0
4344,0,-1,-3,-4,-8,-5,2,2,0
4419,-1,0,-1,1,-18,-4,-3,-2,0
4479,-1,1,-2,3,26,2,4,-6,0
4542,0,1,0,4,4,-6,-4,8,0
4600,-2,-1,-3,-6,-7,-9,1,-15,0
4664,-3,0,3,1,2,7,74,8,0
4726,5,-1,-1,-1,3,-2,-15,-18,0
4785,9,0,0,0,0,-5,-48,-4,0
4847,-6,-7,-4,1,-3,-7,8,9,0
4911,-21,3,1,0,5,4,2,-32,0
4974,-16,4,0,-5,-3,-2,-52,19,0
5034,8,-4,-4,-5,0,-28,16,-50,0
5097,-45,-35,0,3,-8,12,54,42,0
5160,33,-10,4,4,23,9,-36,-103,0
5220,-98,-19,-8,0,4,15,54,-71,0
5282,-54,-17,0,-3,-6,19,66,32,3
5344,-2,-15,-6,0,-4,-1,-70,16,3
5404,99,-3,-3,-7,-27,-17,26,-103,3
5485,-41,-10,1,-4,-12,11,-6,11,3
5543,69,6,1,-1,4,4,41,25,3
5601,25,-1,-2,-8,-19,-12,-27,-15,3
5662,47,-1,2,-2,-1,8,11,-6,3
5722,-21,3,6,6,2,8,13,29,3
5779,-8,25,1,-4,-7,-9,37,-4,3
5840,-31,-4,-4,-3,-4,-7,-85,-57,3
5901,-37,-26,-4,-3,15,9,-2,26,3
5964,23,4,-2,-1,13,19,8,-29,3
6025,24,-3,1,2,14,5,10,7,3
6085,-7,-4,-3,1,-1,-5,-16,-46,3
6144,5,-7,-8,-6,-4,-8,-8,8,3
6205,-82,3,6,-1,6,24,41,0,3
6265,25,-7,-3,0,-9,-12,-1,-8,3
6326,-10,-5,0,2,1,-5,0,6,3
6388,87,7,-1,0,-6,-7,-17,4,3
6448,12,0,-1,-2,-7,-2,8,3,3
6505,-35,0,-3,1,-9,-6,-2,-15,3
6564,-11,-2,-3,-2,-6,-3,-5,-7,3
6626,3,1,2,-2,16,1,-1,3,0
6687,0,-1,-4,-3,-2,2,1,-2,0
6749,-1,-1,-2,-7,-28,-8,-1,-2,0
6808,-1,0,-1,-1,8,-4,0,1,0
6868,-1,0,1,2,-3,-4,-1,-1,0
6929,0,0,-1,1,-5,-6,-1,-1,0
6988,0,-4,-4,-4,-9,-1,1,-3,0
