millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0
168,2,-1,-2,-1,1,0,-1,-6,0
232,-4,-1,0,-2,3,0,0,-3,0
295,-2,0,0,0,-2,1,-5,1,0
361,0,-1,0,-1,-8,-7,-3,0,0
423,2,-1,-3,-3,-2,1,4,3,0
485,1,-2,1,2,-3,2,29,3,0
548,1,0,1,0,-1,-1,-2,8,0
616,1,-2,-2,-3,-1,-4,-17,-28,0
678,5,-6,-2,-2,-2,-3,27,-12,0
742,17,-4,-2,-1,-4,-18,-35,-4,0
805,10,10,-7,-6,-6,-23,-110,-43,0
866,-99,-22,-8,-5,7,2,50,25,0
927,66,-19,-2,-3,-24,29,43,51,0
995,98,44,5,6,0,-56,-128,-67,3
1064,114,21,10,30,90,45,-93,-43,3
1130,-90,-10,3,1,36,11,-2,-29,3
1195,33,-45,-16,-11,-31,-25,10,-64,3
1260,-13,-18,11,8,10,5,48,48,3
1327,-128,14,0,4,4,11,114,58,3
1392,89,33,4,12,24,-7,-7,-8,3
1460,5,21,-2,-2,7,6,4,29,3
1527,96,12,-3,-14,-17,-28,-41,-12,3
1592,44,-17,-14,-4,-8,-16,-9,-9,3
1657,60,15,6,8,15,9,42,58,3
1723,-73,6,3,2,11,8,10,1,3
1794,8,18,0,-4,6,-16,2,10,3
1859,40,-5,0,-3,1,10,22,-43,3
1915,50,8,-1,2,-9,-2,17,40,3
1972,14,0,-1,0,-1,0,13,15,3
2033,2,-3,0,-1,0,1,1,0,3
2096,-9,0,2,5,15,2,-3,-5,3
2161,-1,0,-2,1,-3,-2,0,1,0
2225,0,1,4,-10,-5,-3,-2,-2,0
2290,-1,2,3,21,11,13,1,1,0
2358,0,-2,-3,-1,-11,-5,-1,0,0
2421,-1,-2,-2,-7,-42,-6,-3,-1,0
2485,-1,0,1,-5,-14,-8,-1,1,0
2548,0,-2,-2,-2,-2,0,-2,-1,0
2612,-1,-1,-1,-4,-7,0,1,0,0
2676,-1,-1,0,2,9,1,2,-1,0
2738,-3,-2,-1,-4,-19,-2,-3,-1,0
2800,-3,-1,-2,-2,0,-2,-3,-4,0
2863,-1,-2,-3,-3,-3,-3,-7,-13,0
2940,-2,-2,-1,0,1,1,5,-5,0
2999,4,0,-1,1,-2,-1,20,7,0
3058,-4,-1,2,4,2,2,24,-3,0
3136,8,1,-2,-2,-1,-5,-32,-7,0
3226,11,-5,-1,2,17,1,0,5,0
3289,-31,21,-2,-4,-20,-8,-54,71,0
3350,65,42,2,0,11,10,37,-15,0
3418,77,46,5,0,-8,-35,-82,-31,0
3489,35,39,8,0,-13,-18,-72,-36,3
3567,27,-6,-13,-16,7,3,-18,-34,3
3628,66,4,0,-1,-4,-14,-7,69,3
3687,110,10,5,-2,-25,-34,20,5,3
3749,45,-16,-3,-7,15,8,-103,-21,3
3826,-5,-10,-7,-9,-6,3,-80,-56,3
3897,-15,-36,-9,0,1,-7,43,10,3
3952,-59,21,2,-2,-4,7,5,18,3
4009,22,-3,1,-7,-10,10,-24,30,3
4066,79,41,0,-12,-34,5,15,39,3
4125,37,1,-5,2,29,10,12,-11,3
4191,-24,-35,-6,1,25,-9,-50,-37,3
4255,66,-2,-10,-2,31,6,-6,-65,3
4316,-109,3,-1,-4,0,15,-3,4,3
4380,77,-17,-1,12,20,-6,-22,25,3
4444,10,-18,0,-5,-1,6,-6,-59,3
4508,-53,-3,1,-2,-12,-16,21,53,3
4569,12,22,3,-2,28,22,-23,48,3
4633,-15,-5,0,-5,-6,-4,-8,-20,3
4696,-5,-1,2,2,-15,-4,-2,0,3
4762,-5,-2,-7,-28,-54,0,1,-3,0
4824,-4,-2,-11,-19,-38,-27,-6,-2,0
4888,1,-1,0,9,25,-2,0,-4,0
4949,-1,2,4,7,-26,-7,0,-1,0
5010,2,2,0,-2,-2,7,3,0,0
5064,0,-1,1,5,7,5,1,2,0
5120,-2,-1,-1,-7,-29,1,0,1,0
5176,0,-1,-2,2,5,2,-1,-3,0
5234,-1,0,-1,1,-1,-4,-1,-2,0
5308,-1,-1,-1,0,-6,1,1,-1,0
5369,-1,0,0,7,7,5,4,5,0
5427,1,-2,-4,1,-5,2,-1,0,0
5489,0,1,1,0,12,-3,0,0,0
5547,5,-1,0,-1,-7,4,6,3,0
5607,0,1,-5,-7,-7,-4,-22,22,0
5665,0,-1,-1,-2,-2,-1,0,4,0
5724,18,-1,1,1,6,8,-3,-10,0
5786,12,4,0,-1,-1,1,-17,47,0
5845,13,2,3,-1,-4,15,42,34,0
5905,-2,6,4,1,-9,-7,47,68,0
5966,96,-15,2,11,33,16,33,26,0
6028,43,108,-14,-25,-55,-78,-9,-88,3
6089,-54,29,-2,-9,-2,-43,-38,-34,3
6151,71,-31,3,2,-33,-13,-120,-27,3
6215,-128,-56,-9,-8,1,-44,-37,-2,3
6278,73,-1,5,3,-16,-8,-61,-13,3
6340,123,17,6,6,-16,23,64,76,3
6403,16,29,3,0,7,-4,15,-46,3
6470,-20,-17,-4,-2,16,-11,16,8,3
6536,12,-4,4,-1,-20,-7,-51,-74,3
6602,-102,16,-1,-8,-24,-11,18,-66,3
6678,25,-33,-8,-7,-4,-12,7,1,3
6744,-61,-15,-4,-5,-18,-4,-27,-7,3
6811,44,15,-5,-8,-17,-26,-58,1,3
6876,102,4,-3,6,30,-2,-22,-88,3
6942,5,-11,0,-1,5,13,18,-11,3
7013,-92,5,0,5,-33,-18,-24,-36,3
7078,-56,-12,-2,0,-18,-11,77,49,3
7143,18,-5,-2,0,-3,8,9,38,3
7202,-8,-12,-3,-1,11,0,-15,-52,3
7260,-25,0,-1,-2,-6,-6,-13,-5,3
