millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0
160,4,5,6,4,-4,-2,-5,2,0
220,-1,-1,3,2,-1,4,3,-3,0
281,-3,-3,-1,-2,-2,-2,-7,2,0
345,-2,-2,-2,-1,1,0,7,-1,0
463,-1,-1,-1,1,1,2,-7,0,0
524,4,1,1,0,-1,0,9,7,0
584,1,-1,-2,-3,-2,-1,-2,2,0
642,4,2,0,3,1,-3,-11,0,0
717,-17,-4,-1,-3,-5,-5,-32,-25,0
793,-17,-5,-1,-4,2,0,-22,-6,0
865,-28,1,7,1,1,5,65,73,0
935,-18,4,-1,-1,3,5,12,38,0
1016,27,17,14,3,-13,-29,-58,33,0
1099,-4,-21,-7,-8,-13,-2,-1,0,0
1180,33,4,3,1,-3,3,10,-20,3
1246,21,0,2,3,-4,-7,36,40,3
1310,-124,-26,-14,-7,-2,6,-34,-19,3
1372,26,-11,-3,-1,-1,-7,34,29,3
1437,50,1,3,3,2,12,-3,10,3
1513,62,18,-3,0,-1,-9,2,-3,3
1577,-48,-21,5,2,-4,-4,-3,6,3
1641,16,12,2,-1,3,-7,-37,-11,3
1705,25,2,1,3,3,4,-22,-10,3
1768,-5,5,-1,-1,-2,-6,-19,-7,3
1831,3,-1,-1,0,0,-1,-22,10,3
1895,-17,8,1,-1,-2,-2,-2,6,3
1960,-1,-2,1,4,3,-6,-30,-17,0
2023,-3,-3,-2,-3,-6,-6,-5,-4,0
2088,-1,0,-3,-5,-1,2,1,0,0
2152,-4,-4,-5,-39,-59,-28,-5,-3,0
2216,0,-2,-2,-5,1,-3,-1,-2,0
2279,1,1,0,-1,3,2,-1,0,0
2343,-1,-5,-3,-1,-7,2,-2,-2,0
2405,-1,-1,-2,0,-2,-1,0,-1,0
2466,-5,0,0,-1,-9,-1,28,-13,0
2524,0,-2,-1,-1,3,0,-7,4,0
2586,1,-1,-2,-1,-4,-2,11,2,0
2647,-3,0,1,-2,1,-1,-1,-3,0
2709,-2,-2,-1,-3,1,3,-50,3,0
2767,14,1,2,2,-3,-2,39,25,0
2828,0,-4,-4,-5,-12,-2,-15,-7,0
2898,16,3,-2,4,2,-6,-14,0,0
2968,-50,4,5,3,4,-6,-15,-102,0
3043,57,4,-2,-5,-7,-18,-25,22,0
3116,18,-6,2,-4,-6,-8,-90,-6,3
3177,36,-1,-1,1,6,-5,31,16,3
3237,-51,-12,-4,2,4,8,-1,-9,3
3302,19,11,-4,-4,-24,-8,7,-40,3
3364,-10,11,-2,-2,-6,-4,26,-20,3
3431,-22,-6,-5,-4,1,1,-11,-5,3
3498,35,-2,-7,-5,-5,-4,-23,-5,3
3561,-35,0,-1,-1,-4,-5,3,15,3
3628,-63,-8,-3,-1,-1,-5,-1,15,3
3686,-66,-8,-3,-2,6,10,-10,-51,3
3748,-5,11,-2,-5,-4,-6,7,4,3
3870,0,5,-2,-2,-4,-7,-14,-4,3
3934,37,5,-4,-3,-6,-2,11,32,3
3999,-55,-16,-3,-2,-3,-5,17,-21,3
4062,8,3,-1,0,-1,-3,2,12,3
4127,-5,-2,1,0,-2,-1,6,8,3
4190,1,0,-2,-3,-8,-1,-4,2,3
4260,0,-1,1,6,31,-2,-1,1,0
4321,-2,2,0,8,-6,-1,0,-1,0
4385,-2,0,-1,2,11,-4,-3,-2,0
4448,-2,0,-1,-4,-22,-2,0,0,0
4513,0,0,1,3,9,1,-1,0,0
4578,-1,-1,-1,-4,-4,-2,-1,-1,0
4637,-2,-3,-4,-13,-20,-6,-3,-2,0
4699,-1,1,-2,1,7,-1,-1,0,0
4761,2,-1,-2,0,-1,-3,-6,2,0
4823,1,1,1,-2,-1,7,-5,-1,0
4882,-2,-2,-2,-2,-5,-4,-20,-9,0
4939,4,2,0,-2,-3,3,16,9,0
5000,7,0,1,0,0,8,53,-15,0
5063,9,0,1,3,3,3,9,47,0
5127,-24,-3,-2,-1,-7,-24,11,-54,0
5189,-17,2,3,5,1,-4,-2,33,0
5253,41,3,4,5,-4,-1,-21,73,0
5322,5,-9,-5,-2,-5,2,-5,4,0
5384,-55,-9,-5,0,11,11,57,6,3
5447,-21,-23,-7,-3,-16,-7,-22,-8,3
5512,14,11,6,0,-15,-13,-40,15,3
5577,-9,-10,2,4,18,12,27,-7,3
5640,73,-7,0,-5,-19,-10,-7,-64,3
5703,-66,12,3,4,13,13,47,27,3
5763,20,8,9,4,6,15,53,21,3
5824,59,3,-2,-1,8,-1,-2,-12,3
5884,-31,2,4,0,-8,7,2,10,3
5963,40,-7,-3,-5,-15,-11,-38,0,3
6038,43,10,-2,-6,-18,-6,-4,-3,3
6097,1,-3,-1,-2,-10,-2,-13,-14,3
6157,20,-6,-5,-2,0,-1,2,13,3
6214,14,2,-2,1,-2,-3,9,-12,3
6282,-17,-5,-5,-6,-2,-8,-13,6,3
6349,-40,-11,-7,-9,-4,9,20,-9,3
