millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0
127,-2,-2,1,6,17,11,-2,-2,0
183,-1,1,2,2,-13,3,0,1,0
240,-2,0,2,9,23,-14,-4,0,0
312,-1,0,1,9,8,-32,-4,-2,0
388,0,-1,-4,9,19,8,3,0,0
458,0,-2,-5,-18,-5,48,4,-2,0
514,-1,-4,-10,25,49,7,-1,0,0
571,0,-1,15,-36,-96,63,-6,-3,4
632,0,-1,1,33,-26,-7,6,2,4
696,0,-1,8,31,11,-13,-4,-1,4
761,0,1,0,-2,22,-14,-3,0,4
825,0,1,5,3,36,-2,-3,0,4
888,-2,-3,1,17,-13,12,3,-1,4
952,-1,0,8,-19,-7,-17,-1,0,4
1026,-2,0,10,28,32,4,7,-1,4
1106,-1,-2,3,11,22,25,2,0,4
1244,0,0,-1,-12,-5,-17,-3,-2,4
1296,0,1,10,26,63,3,0,-1,4
1370,0,3,25,18,-50,3,5,1,4
1424,-2,0,-9,-16,14,-26,-3,0,4
1482,-2,-3,-11,-22,-5,-4,-6,-2,4
1538,1,0,3,-4,19,15,-2,1,4
1598,-2,-1,6,9,-10,11,0,-1,4
1655,3,0,-3,-1,3,0,-10,1,4
1725,-2,-2,-5,-3,-6,-2,2,-11,0
1796,-2,0,-1,0,-1,0,0,-2,0
1858,1,-1,-1,-4,0,2,1,-1,0
1915,-1,-1,-1,1,-2,-4,-2,-1,0
1971,0,-2,0,-1,-1,-1,-2,-3,0
2030,-2,-1,-3,-1,0,-2,-2,-3,0
2093,-1,0,0,1,1,-2,-3,-1,0
2157,-2,0,0,-1,0,-3,0,-1,0
2221,0,-1,0,4,18,1,-2,-1,0
2282,-1,-2,-5,0,1,4,1,0,0
2344,-1,0,0,-5,-11,-2,-1,-1,0
2408,-2,0,2,10,-24,2,-1,-2,0
2479,-1,2,12,-2,-58,-2,-2,-1,0
2535,-1,-3,-13,-38,10,1,1,-1,0
2594,-2,-6,-36,-62,-49,16,2,0,0
2654,-2,-2,-2,-19,-48,-13,-5,-3,0
2724,0,0,5,-16,106,19,2,-1,0
2797,-1,3,28,-3,35,-7,3,0,4
2870,-2,0,19,-3,-33,-6,-5,-3,4
2937,-2,-5,-6,81,-40,1,2,-1,4
3007,1,3,0,-54,-52,15,0,-1,4
3083,-1,1,11,-22,-26,15,5,2,4
3142,0,-2,-2,-6,-20,0,2,1,4
3198,-8,-17,-35,45,24,-16,-7,-6,4
3253,-1,0,-6,-58,-42,-11,3,1,4
3311,3,8,26,8,-57,3,0,1,4
3371,-2,-2,-8,12,-14,9,-1,-1,4
3433,1,2,8,-40,-52,6,4,0,4
3494,-4,-8,-22,20,57,9,-3,-3,4
3555,0,0,6,5,35,-9,-1,-1,4
3616,-1,1,-7,-31,-28,-3,-5,-2,4
3676,0,1,-2,33,12,-12,-5,-2,4
3736,-1,-5,-8,-1,5,6,-2,-2,4
3796,-2,-4,-19,7,36,20,-1,-1,4
3858,0,-1,-4,-3,5,3,1,-2,4
3919,0,0,-3,-3,-11,-4,3,-7,4
3980,2,0,1,1,-4,0,-4,-8,0
4038,1,-1,-1,0,-1,-2,0,0,0
4099,-3,0,-1,0,-1,-4,-1,-4,0
4159,0,-2,-2,-1,-1,-2,0,-2,0
4220,-3,-1,-2,0,-1,0,1,-1,0
4283,-1,-1,0,-1,2,2,0,-2,0
4344,-2,-2,0,-1,-1,-1,-2,2,0
4404,0,-1,-2,-1,1,-1,-1,-1,0
4463,1,0,1,1,-2,-1,-2,-1,0
4525,-2,-1,-2,-3,1,0,-2,-1,0
4585,-1,1,-1,1,1,2,0,-1,0
4645,0,1,9,-6,-34,-9,0,1,0
4710,-2,-3,-6,-5,2,0,-3,-1,0
4776,-1,2,2,-9,42,-12,-2,-2,0
4846,-3,-2,-11,-10,-21,19,1,-1,0
4916,0,0,-7,-17,-26,-5,2,1,0
4981,-2,-1,3,-18,-42,-11,-1,-1,0
5055,-2,-2,-20,22,33,24,6,4,0
5110,-4,-7,-16,81,64,-29,1,2,0
5166,-3,-3,-6,-13,12,-4,-2,-1,4
5226,5,12,12,-40,-90,-32,-7,-1,4
5291,-5,-4,-4,28,-37,-4,-3,-1,4
5356,0,-1,4,-8,23,7,-2,-1,4
5416,-3,-6,-16,-14,5,-11,-1,-1,4
5480,0,-4,-10,23,-70,-6,-4,-2,4
5543,1,4,11,21,-28,-5,-5,-1,4
5606,-2,-6,-9,-54,-4,-1,2,0,4
5669,-3,-5,-5,-24,-23,-1,-3,-3,4
5740,-1,-1,-3,16,32,7,-1,-3,4
5802,-2,-1,4,14,-33,19,3,0,4
5861,1,0,-1,-26,-22,16,1,1,4
5923,2,3,2,-16,-29,-13,-2,-1,4
5998,1,2,10,18,-21,-6,-4,-3,4
6077,1,4,15,15,-16,-14,-4,-1,4
