millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0
233,-1,0,-1,9,10,2,2,-1,0
291,-1,-1,-4,20,51,-8,0,0,0
349,0,2,9,-3,-42,-9,2,-1,0
406,-1,-4,-18,-57,-24,15,-2,-2,0
461,-1,-4,-6,-24,3,-1,3,1,0
520,-8,-16,-64,5,-59,13,-8,-7,0
577,6,11,33,93,-112,-1,0,0,4
634,3,9,8,-99,25,-30,-5,-1,4
695,-9,-25,-77,-107,27,41,9,-1,4
755,-4,-7,-29,55,-30,-42,-5,-3,4
813,1,3,23,81,23,-48,-2,1,4
876,0,3,-9,-42,-39,8,6,2,4
937,-2,-8,-29,-28,26,-37,-11,-3,4
997,-2,-3,27,9,-52,3,-3,-3,4
1076,2,7,15,-48,16,-43,-10,-4,4
1167,-1,2,7,-8,-37,-23,-5,0,4
1244,-5,-8,-48,29,-20,58,-2,-2,4
1299,2,11,28,-5,-9,4,2,1,4
1354,1,-6,-60,-87,-65,-15,-6,16,4
1407,-2,-3,19,35,-4,-11,2,2,4
1461,-1,-3,-7,49,48,4,0,2,4
1517,-6,-10,-11,-9,-18,9,-5,-2,4
1572,-6,-7,20,45,-54,-9,-2,-3,4
1633,-2,-5,2,0,-6,1,-6,-7,4
1694,-4,1,0,-1,-7,0,-5,-1,4
1757,-1,-1,2,0,-8,-4,0,-3,0
1821,4,0,0,1,0,-4,-1,-10,0
1879,13,6,-2,-1,-3,0,7,2,0
1940,-3,-1,-1,-1,-3,0,0,-1,0
2002,-4,-1,-2,1,-1,-1,-3,0,0
2063,-1,-1,-2,-1,-2,0,-2,-1,0
2125,-1,-2,-2,-4,-2,0,0,2,0
2187,0,-3,-3,-2,0,-1,3,0,0
2248,-2,-2,-2,2,6,-3,-8,-20,0
2310,1,-1,-1,-2,-3,-3,4,4,0
2375,0,0,-1,-1,-1,-3,-2,5,0
2442,-1,0,1,3,3,-7,-3,-3,0
2498,-3,-2,0,5,26,2,-3,-2,0
2561,1,2,-4,-50,7,-6,1,2,0
2624,3,0,-20,4,-123,-72,-10,0,0
2688,7,12,31,80,78,36,13,10,0
2749,-5,-11,-18,-43,-56,-16,-8,-8,4
2811,3,7,14,16,-10,3,3,3,4
2874,-4,-1,45,97,91,74,-7,-3,4
2932,4,11,12,46,91,19,7,3,4
2995,1,3,-8,-20,-65,-17,2,3,4
3061,-10,-17,-31,-42,-48,-5,4,-3,4
3122,-3,-8,-52,5,-7,7,5,0,4
3180,-5,-7,-14,-20,89,32,-4,-3,4
3241,-4,-7,3,21,-8,-32,-4,-5,4
3300,-4,-3,-29,-5,25,-6,-13,-4,4
3357,2,-2,-3,-113,-54,14,2,3,4
3417,-3,-1,11,3,59,24,8,-1,4
3476,-1,-2,-12,-19,67,14,7,3,4
3536,1,8,4,48,31,-3,-4,-1,4
3598,-3,-9,-11,-30,-90,-18,-12,-1,4
3661,-1,3,-17,-98,-18,-2,-4,-1,4
3722,1,-3,4,20,95,-23,-1,2,4
3786,-4,-13,-4,52,-19,27,6,3,4
3849,-6,-11,-51,-20,-26,-19,-10,-3,4
3942,-1,0,5,10,-18,-4,-3,-2,4
3995,5,-17,-1,4,18,12,-11,-24,4
4048,-21,-3,-3,-1,-21,1,62,-26,4
4105,-6,-17,-4,0,-1,4,-19,13,4
4164,-30,-23,-3,-1,0,-3,-2,-13,0
4226,-8,13,1,-3,-3,-3,-12,-25,0
4291,7,1,1,1,-2,-4,-4,-13,0
4355,3,-2,1,2,1,3,-3,0,0
4421,7,0,0,-3,-3,3,6,1,0
4484,-1,-2,-2,-1,-2,-1,2,0,0
4559,0,-2,0,-1,0,2,1,2,0
4614,0,1,0,-1,-2,-4,-2,-5,0
4672,0,1,3,-3,-7,0,-1,0,0
4733,-3,-5,-13,24,2,-2,0,-3,0
4795,1,3,22,1,-73,0,-1,0,0
4863,1,7,22,28,-70,-34,-7,-2,0
4935,-7,-21,-59,-62,-88,47,-9,-5,0
5007,3,8,4,31,-38,-44,-13,2,4
5065,0,0,31,9,63,2,3,1,4
5126,-1,-3,-46,7,33,18,6,3,4
5200,2,2,14,88,127,85,15,3,4
5270,0,3,22,116,120,-1,-4,2,4
5329,3,4,-19,-28,10,-7,0,3,4
5389,0,4,9,13,-33,-11,-7,-2,4
5456,-3,-8,-18,-21,44,10,2,-1,4
5525,-3,-4,4,36,56,18,4,-1,4
5594,-1,-3,6,2,68,42,7,2,4
5672,-2,-9,-8,-27,26,10,4,0,4
5734,-4,-5,6,-22,-67,-27,-12,-3,4
5789,-6,-11,-18,-18,12,15,5,0,4
5849,0,0,-18,-28,-17,4,1,2,4
5908,2,5,42,127,96,32,8,3,4
5966,4,6,-21,-13,-29,17,-1,0,4
6026,-2,-2,5,9,19,0,1,0,4
6089,-2,2,5,14,27,4,-1,0,0
6152,-5,-5,0,2,15,7,-3,25,0
6215,-10,0,1,4,4,1,-11,6,0
6279,7,3,-1,-5,2,4,-11,7,0
6342,7,1,-2,0,-1,0,-11,-15,0
6405,-2,-2,2,-1,1,2,-1,-2,0
6467,-1,-1,-1,-1,-2,-2,-2,-2,0
6534,1,0,-1,0,-3,-3,-2,-2,0
6599,-3,-1,-2,-1,-3,-1,0,-1,0
6659,0,-1,-1,0,-3,0,-1,-1,0
6716,0,-1,0,-3,0,-3,1,-1,0
6774,0,0,1,-3,-8,4,1,1,0
6835,-1,0,6,5,10,1,0,0,0
6898,0,1,15,4,7,12,3,0,0
6965,0,-3,-5,-56,-101,-4,-7,-4,0
7033,4,4,13,-29,-25,-2,0,1,0
7106,5,6,1,32,79,-11,-4,5,4
7165,1,3,2,61,-47,-1,-1,1,4
7223,-5,-6,7,57,-58,-80,-8,-6,4
7280,-3,-5,-14,2,-27,7,-2,-1,4
7340,1,-3,-8,-27,-23,3,0,3,4
7402,-6,-12,-13,50,-112,10,-3,-3,4
7466,0,0,3,7,-62,-42,-9,-2,4
7530,-5,-10,-14,25,-23,18,-3,-6,4
7595,-9,-14,-35,-37,-1,11,-9,-8,4
7657,5,8,10,20,46,-9,5,4,4
7730,0,3,-15,18,20,-2,2,2,4
7791,0,1,-32,-31,8,-3,2,2,4
7848,1,4,20,52,53,-8,-7,3,4
7905,3,4,9,-2,-8,0,6,2,4
7963,-2,-5,-15,-57,-39,13,3,0,4
8029,-1,-4,-4,-68,-45,-13,-8,-5,4
8094,-1,-1,12,11,-38,-23,-6,-4,4
8172,-1,-7,-17,10,-44,-10,2,-1,4
8239,-44,-24,-5,4,-12,10,3,-7,4
8306,-56,17,0,1,2,-6,-19,-36,4
8369,5,14,0,-1,-5,-5,-47,-21,0
8437,9,1,1,1,1,0,15,9,0
8495,-2,-1,0,2,2,0,4,1,0
8551,2,0,0,0,-2,1,-1,-1,0
8609,-2,0,1,3,-1,-1,0,0,0
8673,-4,0,-1,-1,0,-4,-1,-2,0
8742,-1,-2,0,-1,-2,-2,-1,-1,0
8823,-1,-2,-1,-1,1,-2,0,-1,0
8882,0,2,0,12,31,1,0,0,0
8943,-1,-1,0,-7,-15,-4,-1,0,0
9011,2,1,6,1,13,3,1,1,0
9086,-1,2,13,-33,-34,6,3,3,0
9149,-8,-16,-77,-66,-23,5,-1,-4,0
9206,5,5,21,94,91,-8,10,5,0
9261,0,1,18,-68,-101,-38,-4,-3,4
9320,-8,-23,-89,-46,-34,9,-9,-5,4
9390,3,9,17,94,-6,-7,-3,-2,4
9462,-4,-9,-47,-56,-17,1,4,0,4
9532,1,0,19,29,121,27,5,-1,4
9604,-2,-10,-47,-1,-18,-15,7,2,4
9676,-2,-2,23,51,-3,8,4,-2,4
9764,-10,-24,-97,-91,-45,-13,-8,-5,4
9846,1,5,17,89,11,-27,-8,-3,4
9903,-3,-7,-12,15,4,-13,-4,1,4
9960,-3,-14,-24,-21,-1,21,5,-2,4
10024,-2,-2,3,37,93,44,0,-2,4
10095,2,1,-7,23,77,27,6,5,4
10169,-3,-3,-2,-34,-76,-4,-9,-1,4
10240,-4,-6,3,3,16,50,0,-5,4
10306,-5,1,13,18,-3,-27,-16,-5,4
10364,-2,-4,-4,2,18,4,2,-3,4
10420,2,1,-1,-16,31,-2,1,1,4
10475,-3,-12,-3,9,16,-4,-4,-5,4
