millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0
167,-1,-2,1,-3,3,0,-1,-1,0
225,-2,-2,-3,-3,3,3,-2,-1,0
291,0,1,5,2,-6,2,0,-2,0
354,0,-1,0,0,0,0,-1,1,0
422,-1,-2,0,-2,-8,1,-1,-1,0
485,0,-1,1,0,-1,-1,0,-3,0
540,-1,-2,-1,0,0,-2,-2,0,0
595,-1,-4,-15,-17,2,-1,0,-1,0
649,-1,1,2,6,-1,3,0,0,0
711,0,-1,-1,2,-10,0,-1,-2,0
784,-1,-1,2,-4,-1,5,1,-1,0
842,0,0,1,2,-31,-3,-3,-2,0
898,1,1,-15,-15,23,50,10,4,0
960,-3,-8,-30,-53,0,-9,0,0,0
1038,0,3,10,24,-27,-2,-1,0,0
1106,-1,2,-7,-70,-93,3,-1,-2,4
1185,2,6,22,-2,-14,-25,-3,1,4
1258,0,2,12,14,-19,-76,-9,-3,4
1332,-1,-3,-24,-13,-3,19,2,1,4
1407,-3,-4,2,20,-20,17,1,-2,4
1482,-1,0,-3,-17,-41,-6,-3,-2,4
1555,-2,-6,-22,-48,-24,37,0,-1,4
1627,0,-2,0,11,-1,-14,-5,-1,4
1704,0,-1,-3,-4,4,26,5,2,4
1767,0,1,11,21,26,59,6,0,4
1828,-3,-2,3,17,-45,-20,-4,-1,4
1900,0,0,-5,-1,-39,18,-1,-2,4
1962,1,4,19,41,26,-9,-3,0,4
2027,1,6,18,3,31,32,2,2,4
2093,-2,0,10,1,-11,3,0,-1,4
2157,-1,-2,-5,2,8,-10,-4,-3,4
2231,-1,-1,-1,-6,2,2,0,0,0
2295,0,0,1,-1,-11,10,4,1,0
2362,0,-1,-1,-1,0,-2,-1,-2,0
2427,-1,0,-2,-1,-1,-1,0,-1,0
2489,-1,0,-1,0,2,1,1,0,0
2547,0,-1,-2,0,-1,-2,-2,-1,0
2606,-1,-1,-2,-3,-2,-4,-2,-2,0
2706,0,0,0,0,0,0,0,0,0
2763,-2,-2,-1,1,-1,-1,-2,-1,0
2823,1,1,0,1,3,-3,-3,-2,0
2884,0,-1,3,10,6,-1,1,-2,0
2944,-1,-4,-4,5,-6,1,0,0,0
3009,1,-2,1,7,-1,10,3,3,0
3072,-2,-1,-3,-2,10,1,-3,-3,0
3133,0,0,-4,0,-3,-18,-4,-1,0
3213,-2,-4,-5,-50,-14,19,4,0,0
3275,-1,1,15,51,-61,-15,-3,-1,0
3340,1,-2,0,-29,-5,8,-2,-1,0
3407,1,0,14,-22,-1,19,7,3,4
3471,-1,-1,5,-73,39,-2,-1,-2,4
3534,1,3,8,-5,15,-9,-1,-1,4
3597,-2,-3,-1,38,42,-33,-6,-3,4
3662,2,0,4,-9,7,-6,1,0,4
3726,2,3,15,38,37,13,3,2,4
3791,-2,-3,0,20,50,2,3,0,4
3857,-3,-2,-9,-29,-55,-28,0,0,4
3920,0,-3,-11,-8,-45,38,-1,0,4
